"모양이에요","appears fact or evidence based. not about self"
"택배가 내일 도착할 모양이에요.","package tomorrow arrive will appears."
"그 친구는 저를 잊은 모양이에요.","that friend me forgot appears"
"아무도 안 올 모양이네요.","no one will come it appears."
"영희는 오늘이 무슨 날인지 모르는 모양이에요.","younghee today which day is doesn't know appears"
"아침부터 더운 걸 보니 하루 종일 더울 모양이에요.","morning from hot seeing as all day hot will be it appears."
"신발을 신는 걸 보니 이제 나갈 모양이에요.","shoes putting on seeing as, will go out appears."
"가: 웨이밍 씨가 오늘 학교에 안 왔네요. 나: 어제 몸이 안 좋다고 했는데 많이 아픈 모양이에요.","A: wei ming didn't come to school today. B: yesterday she said she didn't feel well. it looks like she's really sick."
"가: 저기 아키라 씨가 가네요. 나: 등산복을 입은 걸 보니까 산에 가는 모양이에요.","A: there goes akira! B: hiking clothes wearing seeing as, mountain to going appears."
"가: 소영 시가 회사를 그만두었다면서요? 나: 네, 회사 일이 정말 힘들었던 모양이에요.","A: soyeong company quit i heard? B: yes company work really difficult was it appears."
"가: 제나 씨가 아직 안 일어났어요? 나: 방에 영화 DVD가 있는 걸 보니까 밤늦게까지 영화를 본 모양이요.","A: jena still not woken up? B: room dvds are seeing as late night til movies watched it appears."
"가: 주영 씨가 방학에 뭐 하는지 아세요? 나: 비행기 표를 예매한 걸 보니까 고향에 갈 모양이에요.","A: juyeong vacation during what doing is you know? B: plane tickets reserved seeing as hometown will go it appears."
"가: 이 헬스클럽에는 사람이 많네요. 나: 사람이 많은 걸 보니 시걸이 좋은 모양이에요.","A: this health club people a lot. B: people a lot seeing as facilities good appears."
"가: 소영 씨가 부동산 중개소에 전화를 하고 있네요. 나: 부동산 중개소에 전화를 하고 있는 걸 보니 이사할 모야이에요.","A: soyeong real esate agency to phone call doing is. B: real estate agency to phone call doing seeing as move will it appears."
"가: 은혜씨 씨가 회의 시간 내내 시계를 보네요. 나: 회의 시간 내내 시계를 보는 걸 보니 약속이 있는 모양이에요.","A: eunhye meeting time throughout watch looking. B: meeting time throughout watching looks seeing as appointment has it appears."
"가: 정우 씨가 기다리지 말고 먼저 먹으래요. 나: 기다리지 말고 먼저 먹으라는 걸 보니까 늦게 올 모양이네요.","A: jeongwoo wait don't go ahead eat says. B: wait don't go ahead eat seeing as late come will it appears."
"가: 정우 씨가 다음 주에 만나재요. 나: 다음 주에 만나자는 걸 부니까 이번 주에 일이 많은 모양이네요.","A: jeongwoo next week meet let's says. B: next week let's meet seeing as this week work a lot appears."
"가: 정우 씨가 오늘 하루 종일 잘 거래요. 나: 하루 종일 잘 거라는 걸 보니까 촐장에서 많이 피곤한 모양이네요.","A: jengwoo today all day sleep will says. B: all day sleep will says seeing as business trip from a lot tired it appears."
