"줄 알았다","expected regardless of right or wrong"
"비가 올 줄 알았어요.","i knew/thought/expected it to rain."
"비가 올 줄 몰랐어요.","i didn't know/think/expect it to rain."
"철수가 가는 줄 알았어요.","i thought/knew chulsoo is going."
"철수가 간 줄 알았어요.","i thought/knew chulsoo went."
"김치를 안 좋아할 줄 알았어요.","kimchi not would like expected."
"철수가 미국 사람인 줄 알았어요.","chulsoo american person is expected."
"한국어가 어려울 줄 몰랐어요.","korean difficult would be didn't expect."
"한국어 할 줄 아라요.","korean speak method/way know."
"방법 vs 줄","줄 for skill only in this form. 방법 way/method in general context."
"자전거를 탈 줄 알아요.","i know how to ride a bike."
"요리할 줄 몰라요.","i don't know how to cook."
"것 vs 줄","이라는 것을 알다. 것 for i knew the fact that."
"줄 vs 는지","어떻게 타는지 알아요. 줄 more convo. 는지 has many other uses."
"가: 자야 씨, 왜 숙제 안 하셨어요? 나: 오늘 숙제가 있었어요? 저는 숙제가 있는 줄 몰랐어요. 숙제가 없는 줄 알았어요.","A: Jaya, why didn't you do your homework? B: Did we have homework for today? I didn't know we had homework. I thought we didn't have any."
"앤디 씨가 오늘 학교에 온 줄 알았어요. 학교에 오지 않은 줄 물랐어요.","I thought Andy came to school todayo. I didn't know he didn't come."
"바람이 많이 불어서 날씨가 추운 줄 알았어요. 그런데 밖에 나오니까 춥지 않아요.","The wind was blowing so hard I thought it was cold. But now that I am outside, it's not cold."
"저는 주영 씨가 중국 사람인 줄 물랐어요. 한국 사람 인 줄 알았어요.","I didn't know Juyeong was Chinese. I thought she was Korean."
"가: 진수 씨, 음악 소리 좀 줄여 주세요. 아기가 자고 있어요. 나: 아, 죄송해요. 아기가 자는 줄 물랐어요. 수리를 줄일게요.","A: Jinsoo music sound lower pls. Baby sleeping. B: ah sorry. baby sleeping didn't know. sound lower will."
"가: 진수 씨, 텔레비전을 꺼 주세요. 시험공부 하고 있어요. 나: 아, 죄송해요. 시험공부 하는 줄 몰랐어요. 텔레비전을 끌게요.","A: Jinsoo, tv off pls. test studying doing. B: ah sorry. test studying doing didn't know. tv off will."
"가: 진주 씨, 조용히 해 주세요. 친구와 통화 중이에요. 나: 아, 죄송해요. 친구와 통화 중인 줄 몰랐어요. 조용히 하게요.","A: Jinsoo, be quiet. friend witih conversation middle of. B: ah sorry, friend with conversation middle of didn't know. i'll be quiet."
"가: 미영 씨, 날씨가 말근데 왜 우산을 가지고 왔어요? 나: 아침에 날씨가 흐려서 비가 올 줄 알았어요.","A: miyoung, weather clear; why umbrella brought? B: morning weather cloudy so rain would come expected."
"가: 미영 씨, 일요일에는 학교 식당이 문을 닫는데 왜 갔어요? 나: 일요일에도 도서관이 열어서 식당도 문을 여는 줄 알았어요.","A: miyoung monday school cafeteria doors closed why did you go? B: monday even though library open so cafeteria also opens expected."
"가: 미영 씨, 진수 씨의 생일 파티는 내일인데 왜 케이크를 사 왔어요? 나: 아까 라라 씨가 진수 씨에게 선물을 줘서 생일 파티가 오늘인 줄 알았어요.","A: miyoung, jinsoo's bday party tomorrow is; why cake bought and came? B: earlier lala jinsoo to present gave so bday party today is thought."
