"지도 몰라요","may, might, could happen. possible but unlikely"
"가: 여보, 우산 가지고 가세요. 나: 날씨가 말근데요. 가: 장마철이잖아요. 장마철에는 갑자기 비가 올지도 몰라요.","A: Honey, take an umbrella with you. B: But the weather's fine. A: It's the rainy season. In the rainy season, it might start raining suddenly."
"가: 마크 씨가 얼마 전에 산 책을 다 읽었겠지요? 제가 좀 빌려서 읽으려고요. 나: 요즘 일이 많아서 다 못 읽었을지도 몰라요.","A: Don't you think Mark has finished reading that book he bought recently? B: There's so much to do these days that he may not have finished reading it yet."
"가: 사토 씨가 어디 있는지 혹시 아세요? 나: 사토 씨는 보통 집에 일찍 가지만 내일 시험이 있으니까 도서관에 있을지도 몰라요.","A: Do you happen to know where Sato is? B: Sato normally goes home early but he's got a test tomorrow, so he might be in the library."
"가: 휴지랑 비누를 다 썼네요. 내일 마트에 갔다 와야겠어요. 나: 내일 부터 추석 연휴라서 문을 안 열지도 몰라요. 온을 갔다 오는 게 좋을 것 같아요.","A: We're all out of toilet paper and soap. It looks like we'll have to go to the mart tomorrow. B: Tomorrow's the first dasy of Chuseok holidy, so it might be closed. I think we should go today."
"가: 이번 시험에 꼭 합격해야 할 텐데요. 나: 열심히 공부했으니까 합격할지도 몰라요. 가: 뭐라고요? 제가 떨어질 가능성이 더 많다는 얘기예요?.","A: I've really got to pass this exam. B: You've studied really hard, so maybe you'll pass. A: What? Are you saying it's more likely that I'll fail?"
"가: 드디어 여행 가방을 다 샀어요. 나: 비상약도 넣었어요? 갑자기 아플지도 모르니까 꼭 챙기세요. A: finally vacation bag all packed.","B: first-aid medicie also put in? suddenly sick may get cuz be sure to put things in order."
"가: 드디어 여행 가바을 다 샀어요. 나: 두꺼운 옷도 옷도 넣었어요? 밤에는 추울지도 무르니까 두꺼운 옷도 꼭 챙기세요.","A: finally vacation bag all packed. thick clothes also put in? night cold may get so thick clothes also be sure to prep."
"가: 드디어 여행 가바을 다 샀어요. 나: 지도도 넣었어요? 혹시 길을 잃어버릴지도 모르니까 지도도 꼭 챙기세요.","A: finally vacation bag all packed. map also put in? maybe way may lose so map also be sure to prep."
"가: 케빈 씨가 결석을 하는 사람이 아닌데 온을 왜 학교에 안 왔을까요? 나: 비자를 연장해야 한다고 했으니까 출입국 외국인청에 갔을지도 몰라요.","A: kabin absent doing person not; today why school not came do you think? B: visa extend has to said cuz immigration foreign office gone may have don't know."
"가: 케빈 씨가 약속을 잊어버리는 사람이 아닌데 어제 왜 약속을 잊어버렸을까요? 나: 요즘 이사하느라고 정신이 없어서 약속을 잊어버렸을지도 말라요.","A: kabin appointment forgetting person not; yesterday why appointment forgot? B: These days moving in middle of right mind not so appointment forgotten might have."
"가: 케빈 씨가 돈을 많이 쓰는 사람이 아닌데 왜 벌써 용돈이 다 떨어졌을까요? 나: 이번 달에 병원에서 치료를 받느라고 돈을 다 썼을지도 몰라요.","A: kabin money a lot spending person isn't; why already pocket money all threw away? B: this month hospital checkup received cuz money all spent may have."
