"1 noun쯤","about, approximately, around. informal."
"한 시간 쯤 기다렸어요","i waited around an hour."
"8월쯤에 한국에 갈 거예요","around august korea i will go."
"한달 전쯤 편지를 보냈어요","one month ago around letter sent."
"2 noun 정도","about, approximately, around. degree, amount. formal or informal so bit less common."
"제가 5개 정도 가져갈게요","i'll bring approximately 5."
"이 정도면 충분해","this much if, enough/sufficient. this much is enough."
"3 noun + 약","both formal and informal. sounds a bit fancy."
"그 회사에 약 2억원을 투자했어요","that company in approximately 2 billion won invested."
"저는 매주 약 8시간 정도 책을 읽어요","i every week approximately 8 hours about book read."
"4 verb 을,ㄹ 정도(로)","degree, amount. so much that. exaggerate but also can be real."
"배가 너무 고파서 생양파도 먹을 수 있을 정도예요","i am so hungry so raw onion even eat able to so much that."
"버스에서 잠들 정도로 피곤했어요","bus on fall asleep to the extent of was tired."
"한달 동안 고구마만 먹어야 할 정도로 가난했어요","one month sweet potatoes only eat had to the extent of poor was."
"5 noun 쯤 하다","costs."
"5000원쯤 해요","it costs 5000 won."
"5000원쯤이에요","it is 5000 won."
"6 을,ㄹ 즈음(즘)","around the time when ."
"기차가 정류장에 도착할 즈음 잠에서 깼어요","train station at arrived around the time sleep from woke."
"가: 오늘 돌아다니면서 구경 많이 했어요? 나: 네, 피곤해서 쓰러질 정도로 많이 돌아다녔어요.","A: today going around while sight seeing a lot did? B: yes tired that collapse could a lot went around."
"가: 비가 많이 오네요! 나: 네, 너무 많이 와서 앞이 잘 안 보일 정도예요.","A: raining a lot suprisingly. B: yes so much rain that front well can't see extent of."
"저는 매일 두 편씩 볼 정도로 여화를 좋아해요","i like movies to the extent that i watch about two (works) everyday."
"평소에 화를 안 내던 민수 씨가 화를 낼 정도로 지수 씨가 큰 실수를 한 거예요?","did jisoo make such a big mistake that minsoo, who usually never got angry, got upset?"
"가: 밖에 바람이 많이 불어요? 나: 네, 사람이 날아갈 정도로 많이 불어요.","A: outside wind a lot blows? B: yes person fly away so much so a lot blows."
"가: 배가 많이 고파요? 나: 네, 쓰러질 정도로 배가 고파요.","A: stomach very hungry? B: yes collapse could to the extent of hungry."
"가: 저 사람은 말이 정말 빨라지요? 나: 네, 너무 빨라서 알아듣기가 힘들 정도예요.","A: that person word really fast right? B: yes, so fast that understanding difficult to the extent of."
"가: 저 외국 사람은 한국말을 정말 잘하지요? 나: 네, 아주 잘해서 한국 사람이라고 생각될 정도예요.","A: that foreign person korean words really well does right? B: yes speaks so well that you could think they are korean."
