"은/는/이/가 verb 만하다","worth doing, acceptable to do. desc verb understandable to be, acceptable to be, natural to be."
"피곤할 만해요","it is natural to be tired."
"부산은 갈 만해요","busan going worth."
"우리 차는 오래됐지만 아직 쓸 만해요","our car old gotten but still use worth."
"조금 달긴 하지만 먹을 만해요","it iiis a bit sweet but eat still worth."
"예전 집은 조금 춥긴 했지만 위치가 좋아서 살 만했어요","while ago house bit cold (i'll admit) location good so living worth."
"영수는 성격이 좋아서 친구가 많을 만하다고 생각해요","yeongsoo personality good so friends a lot only natural i think."
"그 집은 수영장도 있고 커서 비쌀 만해요","that house swimming pool also has and big so expensive it is only natural."
"noun 만 하다","to be the same size as (noun), literally to reach the extent of. 이만, 그만."
"그만하세요","literally that much to the extent of do. stop. that's enough."
"아이 얼굴이 사과만 하네요","the kid's face is the size of an apple."
"제 다리는 코끼리 다리만 해요.","my legs elephant leg like (to the extent of) are."
"가: 우와! 저 개는 정말 크네요! 나: 네, 정말 개가 송아지만 하네요.","A: wow that dog is really big. B: yes, really dog calf as big."
"가: 왜 유리창이 깨졌지? 누가 싸운 거야? 나: 아니에요. 밖에서 누가 주먹만 한 돌을 던졌어요.","A: why glass window broke? did someone fight? B: no. outside from someone fist size of rock threw."
"고향에 있는 집도 지금 살고 있는 집 크기만 해요.","hometown existing house also now living in house big as is."
"아무리 편한 곳도 집만 한 곳은 없어요. 작기는 해도 우리 집이 제일 편해요.","no matter how comfy place house as place isn't. small it is but our house is the coziest."
"열다섯 살인 동생의 키가 벌써 스무 살인 형만 하네요!","15 year old younger sibling's height already 20 year old big brother to the degree of is."
"월급이 쥐꼬리만 해요.","my salary is the size of a rattail."
"얼굴이 주먹만 해요.","face the size of a fist."
"목소리가 작아서 모기 소리만 해요.","voice is as small as a mosquito's sound."
"너무 놀라서 가슴이 콩알만 해졌어요.","so suprised that heart shrank to the size of a bean."
"형만 한 아우가 없다.","no younger brother is wiser than his older brother."
"강아지 크기만 한 쥐.","a rat as big as a puppy."
"어른 팔뚝만 한 물고기를 잡았어요.","(someone) caught a fish the size of a grown man's forearm."
"방이 운동장만 해요.","the room is as big as a field/stadium/schoolyard"
"가: 저 사과는 정말 크네요! 나: 우와! 사과가 수박만 하네요.","A: that apple really big. B: wah apple watermelon as big."
"가: 저 배우는 얼굴이 정말 작네요. 나: 우와! 얼굴이 주먹만 하네요.","A: that actor face really small. B: wah face fist as small is."
"가: 저 휴대 전화는 크기가 정말 작네요!. 나: 우와! 휴대 전화가 엄지손가락만 하네요.","A: that cellphone size really small. B: wah cellphone thumb as small"
"가: 왜 이사를 안 가요? 나: 우리 하숙집 아주머니만 한 주인이 없거든요. 그래서 안 가요.","A: why move not going? B: our boarding landlady as owner isn't. for that reason not going."
"가: 왜 밀가루 음식을 안 먹어요? 나: 저에게는 밥만 한 음식이 없거든요. 그래서 안 먹어요.","A: why flour food don't eat? B: for me rice like food there isn't. so don't eat."
"가: 왜 외국으로 여행을 안 가요? 나: 저에게는 국내만 한 여행지가 없거든요. 그래서 외국 여행은 안 가요.","A: why abroad travel don't go? B: for me domestic travel like place/travel destination there isn't. so abroad travel don't go."
