"noun쯤","about, approximately, around. informal."
"한 시간 쯤 기다렸어요","i waited around an hour."
"8월쯤에 한국에 갈 거예요","around august korea i will go."
"한달 전쯤 편지를 보냈어요","one month ago around letter sent."
"noun 정도","about, approximately, around. degree, amount. formal or informal so bit less common."
"제가 5개 정도 가져갈게요","i'll bring approximately 5."
"이 정도면 충분해","this much if, enough/sufficient. this much is enough."
"noun + 약","both formal and informal. sounds a bit fancy."
"그 회사에 약 2억원을 투자했어요","that company in approximately 2 billion won invested."
"저는 매주 약 8시간 정도 책을 읽어요","i ever week approximately 8 hours about book read."
"verb 을,ㄹ 정도(로)","degree, amount. so much that. exaggerate but also can be real."
"배가 너무 고파서 생양파도 먹을 수 있을 정도예요","i am so hungry so raw onion even eat able to so much that."
"버스에서 잠들 정도로 피곤했어요","bus on fall asleep to the extent of was tired."
"한달 동안 고구마만 먹어야 할 정도로 가난했어요","one month sweet potatoes only eat had to the extent of poor was."
"noun 쯤 하다","costs."
"5000원쯤 해요","it costs 5000 won."
"5000원쯤이에요","it is 5000 won."
"을,ㄹ 즈음(즘)","around the time when ."
"기차가 정류장에 도착할 즈음 잠에서 갰어요","train station at arrived around the time sleep from woke."
"저는 매일 두 편씩 볼 정도로 여화를 좋아해요","i like moves to the extent that i watch about two (works) everyday."
"평소에 화를 안 내던 민수 씨가 화를 낼 정도로 지수 씨가 큰 실수를 한 거예요?","did jisoo make such a big mistake that minsoo, who usually never got angry, got upset?"
"가: 밖에 바람이 많이 불어요? 나: 네, 사람이 날아갈 정도로 많이 불어요.","A: outside wind a lot blows? B: yes person fly away so much so a lot blows."
"가: 배가 많이 고파요? 나: 네, 쓰러질 정도로 배가 고파요.","A: stomach very hungry? B: yes collapse could to the extent of hungry."
"가: 저 사람은 말이 정말 빨라지요? 나: 네, 너무 빨라서 알아듣기가 힘들 정도예요.","A: that person word really fast right? B: yes, so fast that understanding difficult to the extent of."
"가: 저 외국 사람은 한국말을 정말 잘하지요? 나: 네, 아주 잘해서 한국 사람이라고 생각될 정도예요.","A: that foreign person korean words really well does right? B: yes speaks so well that you could think they are korean."
"은/는/이/가 verb 만하다","worth doing, acceptable to do. desc verb understandable to be, acceptable to be, natural to be."
"피곤할 만해요","it is natural to be tired."
"부산은 갈 만해요","busan going worth."
"우리 차는 오래됐지만 아직 쓸 만해요","our car old gotten but still use worth."
"조금 달긴 하지만 먹을 만해요","it iiis a bit sweet but eat still worth."
"예전 집은 조금 춥긴 했지만 위치가 좋아서 살 만했어요","while ago house bit cold (i'll admit) location good so living worth."
"영수는 성격이 좋아서 친구가 많을 만하다고 생각해요","yeongsoo personality good so friends a lot only natural i think."
"그 집은 수영장도 있고 커서 비쌀 만해요","that house swimming pool also has and big so expensive it is only natural."
"noun 만 하다","to be the same size as (noun), literally to reach the extent of. 이만, 그만."
"그만하세요","literally that much to the extent of do. stop. that's enough."
"아이 얼굴이 사과만 하네요","the kid's face is the size of an apple."
"제 다리는 코끼리 다리만 해요.","my legs elephant leg like (to the extent of) are."
"가: 우와! 저 개는 정말 크네요! 나: 네, 정말 개가 송아지만 하네요.","A: wow that dog is really big. B: yes, really dog calf as big."
"고향에 있는 집도 지금 살고 있는 집 크기만 해요.","hometown existing house also now living in house big as is."
"아무리 편한 곳도 집만 한 곳은 없어요. 작기는 해도 우리 집이 제일 편해요.","no matter how comfy place house as place isn't. small it is but our house is the coziest."
"열다섯 살인 동생의 키가 벌써 스무 살인 형만 하네요!","15 year old younger sibling's height already 20 year old big brother to the degree of is."
"월급이 쥐꼬리만 해요.","my salary is the size of a rattail."
"얼굴이 주먹만 해요.","face the size of a fist."
"목소리가 작아서 모기 소리만 해요.","voice is as small as a mosquito's sound."
"너무 놀라서 가슴이 콩알만 해졌어요.","so suprised that heart shrank to the size of a bean."
"형만 한 아우가 없다.","no younger brother is wiser than his older brother."
"강아지 크기만 한 쥐.","a rat as big as a puppy."
"어른 팔똑만 한 물고기를 잡았어요.","(someone) caught a fish the size of a grown man's forearm."
"방이 운동장만 해요.","the room is as big as a field/stadium/schoolyard"
"가: 저 사과는 정말 크네요! 나: 우와! 사과가 수박만 하네요.","A: that apply really big. B: wah apply watermelon as big."
"가: 저 배우는 얼굴이 정말 작네요. 나: 우와! 얼굴이 주먹만 하네요.","A: that actor face really small. B: wah face fist as small is."
"가: 저 휴대 전화는 크기가 정말 작네요!. 나: 우와! 휴대 전화가 엄지손가락만 하네요.","A: that cellphone size really small. B: wah cellphone thumb as small"
"가: 왜 이사를 안 가요? 나: 우리 하숙집 아주머니만 한 주인이 없거든요. 그래서 안 가요.","A: why move not going? B: our boarding landlady as owner isn't. for that reason not going."
"가: 왜 밀가루 음식을 안 먹어요? 나: 저에게는 밥만 한 음식이 없거든요. 그래서 안 먹어요.","A: why flour food don't eat? B: for me rice like food there isn't. so don't eat."
"가: 왜 외국으로 여행을 안 가요? 나: 저에게는 국내만 한 여행지가 없거든요. 그래서 왜국 여행은 안 가요.","A: why abroad travel don't go? B: for me domestic travel like place/travel destination there isn't. so abroad travel don't go."
"1 N만큼","amount, quantity, volume, as much as."
"저는 철수 씨만큼 똑똑하지 않아요.","i chulsoo as much as smart not. (could be dumber or smarter)."
"저는 철수 씨만큼 똑똑해요.","i am chulsoo amount of smart."
"저는 제 친구만큼 한국어를 잘해요.","i my friend amount as korean well speak."
"저는 제 친구만큼 한국어를 잘 못해요.","i speak korean as bad as my friend. i dont speak korean as bad as my friend."
"튤립은 장미꽃만큼 인기가 많아요.","tulips rose flower as much as popularity a lot."
"저는 공부를 이만큼 했어요.","i study this much studied."
"2 adjective 만큼","extent, up to that amount, so much that, as much as."
"먹을 수 있는 만큼만 가져가세요.","eat able to amount/as much as only take pls."
"죽지 않을 만큼만 먹었어요.","die wouldn't amount only eat."
"저는 인터넷을 쓴 만큼 돈을 내요.","i internet used amount pay."
"3 adjective 만큼","reason, because, 으니까 fancier."
"피망은 아이들이 싫어하는 채소인 만큼 더 맛있게 요리했어요.","bell peppers kids hating vegetable is cuz more tastily cooked."
"오래 준비한 만큼 멋진 무대를 보여드릴게요.","long time prepared because cool stage performance show will."
"그 브랜드는 20대를 타겟으로 하고 있는 만큼 변화에 빠르게 반응해요.","that brand 20s targeting is because change to rapidly react."
"4 정도(로)","as much as. to the amount of."
"할 만큼 했어요.","i did all i could."
"5 verb stem 으니만큼","because, more fancy, general opinion as you are talking not for why."
"직 젊으니만큼 금방 다른 일을 할 수 있을 거예요.","still young because right away different job do able to will be."
"가: 돈을 얼마씩 내면 돼요? 나: 각자 먹은 만큼 내면 될 것 같아요.","A: money how much each pay if should be ok? B: amount eat as much as pay should i think."
"가: 오늘 같이 영화 볼까요? 나: 미안해요. 요즘 영화를 볼 만큼 한가하지 않아요.","A: today together moview watch shall we? B: sorry. these days move to see as much as free not."
"돈을 많이 내는 만큼 좋은 서비스를 받을 수 있을 거예요.","money a lot pay as much as good service receive able to will."
"저 뒤에 있는 사람도 들을 수 있을 만큼 크게 말해 주세요.","over there behind existing people also listen able to as much as so loudly speak pls."
"사람들은 보통 아픈 만큼 성숙해진다고 말을 합니다.","people usually hurt/sorrow as much as mature they say."
"나도 형만큼 잘할 수 있으니까 걱정하지 마세요.","i also brother as much as well do can so don't worry."
"가: 그 영화가 그렇게 슬폈어요? 나: 네, 눈물이 날 만큼 슬폈어요.","A: that movie that sad was? B: yes could cry as much as sad was."
