"아무","any. adjective."
"아무나","anyone. positive."
"아무나 좀 도와주세요.","anyone pls help give me."
"아무도","anyone even. nobody. negative."
"파티에 아무도 오지 않았어요.","party to anyone even didn't come."
"아무거나","anything. positive."
"아무것도","anything. negative"
"아무거나 주세요","please give me anything."
"아무것도 안 먹었어요.","anything even didn't eat."
"아무 때나","anytime."
"아무 때나 괜찮아요.","any time ok."
"아무 데나","any place."
"상자를 아무 데나 놔주세요.","box any place put pls."
"이런 건 아무나 할 수 있어요.","this kind of thing anyone do able to."
"치킨을 아무도 안 좋아해요.","chicken anyone even doesn't like."
"너무 놀라서 아무 말도 하지 못했어요.","so suprised that any words even say couldn't."
"그냥 아무 봉지에 넣어주세요.","just any bag in put in pls."
"암튼/아무튼","anyway ..."
"하여튼/여하튼/어쨌든","anyway ... fancy"
"아무튼 잘 끝나서 다행이에요.","anyways good finished so glad."
"아무리 verb + 아/어 + 도","no matter how much verb."
"배가 아무리 고파도 이건 먹지 마세요.","stomach no matter how hungry this thing don't eat."
"아무리 생각해도 -> 아무래도","no matter how much i think about it. somehow ... i still think."
"아무래도 제가 가야 겠어요.","still i should go/leave."
"선물을 받았는데 아무래도 돌려줘야 할 것 같아요.","gift received but still return have to will i think."
"아무한테도 주지 마세요.","anyone to even give don't."
"아무러하다 and 아무렇다","any base verb. usually in adj form."
"아무렇게나","“carelessly / randomly / any way”"
"아무렇게나 앉으세요","sit anywhere you like."
"아무렇다 할 수 없다","can't really say it's like that"
"아무렇지 않다","to not be in any state. to be fine or unaffected."
"아무런 Noun 이니/도","any kind of. more emphatic"
"가: 저 지하절 입구에 있는 신문을 봐도 돼요? 나: 그럼요, 무료니까 보고 싶은 사람은 아무나 가져 가도 돼요.","A: that subway entrance at existing newspaper look can we? B: sure. free cuz anyone who wants to read it can take a copy."
"가: 약속 시간이 지났는데 아무도 안 왔어요? 나: 네, 아무도 안 와서 저 혼자 기다리고 있었어요.","A: appointment time passed but anyone even didn't come? B: yes, anyone even didn't come so i alone waiting was."
"이곳은 입장료만 내면 아무나 들어갈 수 있습니다.","this place as for admission fee pay if anyone enter able to."
"아무도 나를 알지 못하는 곳으로 가고 싶어요.","i want to go to a place where nobody knows me."
"그 파테에는 아무나 갈 수 있는 거지요?","that party anyone go able to thing right?"
"그 파테에는 누구나 갈 수 있는 거지요?","that party whoever go able to thing right?"
"저는 아무거나 괜찮아요.","as for me anything is fine."
"저는 아무것도 먹고 싶지 않아요.","as for me anything even eat don't want to."
"가: 휴가에 어디로 여행을 가고 싶어요? 나: 조용한 곳이면 아무 데나 괜찮아요.","A: vacation where to trip go want to? B: quiet place if any spot is fine.:"
"가: 누구하고 영화를 보고 싶어요? 나: 코미디 영화를 좋아하는 사람이면 아무나 좋아요.","A: who with movie watch want to? B: comedy movie liking person if anyone is good."
"가: 무엇을 마시고 싶어요? 나: 시원한 것이면 아무거나 상관없어요.","A: what drink want to? B: refreshing thing if anything don't care."
"가: 여기에서 담배를 피울 수 있는 곳이 있어요? 나: 이 건물에서는 아무 데서도 담배를 피우면 안 됩니다.","A: here at cigarette smoking able to place is? this building in any spot even cigarette smoke if not allowed."
"가: 내일 수술인데 수술할 때까지 먹을 수 있는 음식이 있어요? 나: 수술할 때까지는 아무것도 먹으면 안 됩니다.","A: tomorrorw surgery is; surgery time until each able to food is? b: surgery time until anything even eat if not allowed."
