"이라도","even, at least, or something"
"이거라도 드세요.","this at least eat or something."
"너무 심심해서 책이라도 봐야겠어요.","so bored that book even/at least read should/gotta/have to"
"소고기가 비싸면 돼지고기라도 사 주세요.","beef expensive if pork at least buy pls."
"우산이 없으니 모자라도 서야겠어요.","umbrella don't have cuz hat at least wear gotta/better/have to."
"집에서라다 편하게 입어요.","home at least comfortably dress."
"과외를 할 수 없으면 요튜브로라도 공부해 보세요.","private lessons do unable to if youtube using at least study try."
"정말 아무라도 상관없어요.","does it not matter even if it's anyone?"
"정말 누구든지 상관없어요.","really whoever doesn't matter?"
"뭐라도 필요한 게 있으면 알려주세요.","anything even, need thing exists if let me know."
"이라고 말하도","even if you say/assume that A is ... it doesn't matter."
"인기가 많은 사람이라도 외로울 수 있어요.","popularity a lot person say even is lonely can be."
"유통기한이 지난 물건이라도 아직 괜찮을 수도 있어요.","expiration passed thing say even still fine may able to be."
"가: 남편이 선물을 자주 해요? 나: 아니요, 결혼하고 한 번도 선물을 받아 본 적이 없어서 장미꽃 한 송이라도 받아 보면 좋겠어요.","A: husband present often does? B: no, marriage after one time even present receive experience isn't rose one at least receive if would be good."
"가: 무슨 일인데 아침부터 전화를 했니? 나: 처리해야 할 급한 일이 생겼는데 직원들이 모두 못 나온대. 그러니까 너라도 와서 좀 도와줘.","A: what reason; morning from call did? B: handle have to urgent thing occurred; employee all can't show up said. for that reason you at least come and bit help give."
"집이 너무 멀어서 중고차라도 한 대 사야겠어요.","house so far away that used car is even one vehicle buy gotta/should/have to."
"그렇게 쉬지 않고 일말 하면 어떻게 해요? 여기 앉아서 잠깐이라도 좀 쉬세요.","like that rest don't and work only do if how do? here sit and little while at least bit rest."
"열심히 공부한다고 해 놓고 오늘도 놀아 버렸어요. 내일부터라도 열심히 해야겠어요.","hard study said but today also played unfortunately. tomorrow from at least hard study gotta/have to."
"어느 곳이라도 사랑하는 사람과 함께 있을 수 있다면 저는 상관이 없어요.","whichever place even person who i love with together exist able to if i don't care."
"아무 말이라도 좋으니까 제발 대답 좀 해 보세요.","it doesn't matter what you say, i'm begging you to please respond."
"영수 씨는 무슨 일이라도 할 수 있는 사람이에요. 그러니까 믿고 맡겨 보세요.","yeongsoo whatever work even do able to person is. therefore trust and let him handle it."
"누구라도 연락이 먼저 되는 사람에게 이야기를 하려고 합니다.","whoever contact first can person talk plan to. (it doesn't matter who that person is)."
"가: 내일 개업식에 사람이 많이 와야 할 텐데 몇 명밖에 연락이 안 돼서 걱정이에요. 나: 그럼. 연락된 사람이라도 꼭 오라고 하세요.","A: tomorrow business opening ceremony people a lot come should i assume but few people other than couldn't contact so worried. B: then. contact able to people at least for sure ""come"" say."
"가: 우리 아들이 매일 늦게 들어와서 걱정이에요. 나: 집에 늦게 들어올 때는 전화라도 하라고 하세요.","A: our son everyday late enters so worried. B: house late enter when call at least tell him."
"가: 친구들 모임에 계속 못 갔는데 내일도 야근을 해야 해서 걱정이에요. 나: 늦은 시간이라도 간다고 하세요.","A: friends gather always couldn't go; tomorrow night shift do have to so worried. B: late time even tell em you'll go."
"가: 오늘 사무실 사람들과 같이 식사를 못 한다면서요? 나: 네, 그래서 미안해서 커피라도 사려고 해요.","A: today office people with together meal can't do i heard? B: yeah, that's why sorry so coffee at least buy intend to."
"가: 이번 툐요일에 윤아 씨의 결혼식에 못 간다면서요? 나: 네, 그래서 촉하 카드라도 보내려고 해요.","A: this saturday yoona's wedding can't go i heard? B: yeah that's why congrats card at least send intend to."
