"verb stem + 든(지)","whether, regardless, showing options and any choice is fine."
"멀든지 가깝든지 꼭 가야 돼요.","far whether close whether for sure go have to."
"지금 하든지 나중에 하든지 상관없어요.","now do whether later do whether doesn't matter."
"뭐든지, 무엇이든지","whatever, anything"
"어디든지","wherever, anywhere"
"누구든지","whoever, anybody, anyone"
"언지든지","whenever, anytime"
"한국어는 누구든지 배울 수 있어요.","korean whoever/anybody learn able to."
"언제든지 전화하세요.","whenver/anytime call me."
"누가 하든지 상관없어요.","whoever does it doesn't matter/don't care."
"저는 지금 어떤 음식이든지 다 먹을 수 있어요.","i now what kind of food regardless all eat able to."
"무슨 색이든 다 좋아요.","whatever/any color all good."
"영희는 화장을 했든지 안 했든지 예뻐요.","yeonghee makeup did whether not did whether pretty."
"가: 이 서류는 머엇으로 써야 합니까? 나: 볼펜으로 쓰든지 연필로 쓰든지 마음대로 하세요.","A: this document what thing using write/fill out have to? B: pen with whether, pencil with whether as your heart desires do."
"가: 책이 너무 비싸면 어떻게 하지요? 그래도 사다 줄까요? 나: 네, 비싸든지 싸든지 필요한 책이니까 꼭 사다 주세요.","A: book too expensive if what should we do? B: still buy and give shall i? B: yes expensive whether, cheap whether need book is cuz for sure buy and give pls."
"눈이 오든지 비가 오든지 내일 공연은 예정대로 진행될 겁니다.","snow come whether, rain come whether tomorrow performance schedule according to proceed/go on will (passive)."
"이제 한국 음식은 맵든지 짜든지 모두 먹을 수 있어요.","now korean food spicy whether, salty whether all eat able to."
"제 남편은 평일이든지 주말이든지 시간만 나면 등산을 갑니다.","my husband weekday whether, weekend whether time (only condition) become available if hiking goes."
"네가 가든지 말든지 나는 상관없으니까 마음대로 해.","you go whether don't go whether i don't care so do whatever you want."
"그 사람이 키가 크든지 안 크든지 일단 한번 만나 보세요.","that person height tall whether, not tall whether first just meet try."
"내일은 친구를 만나든지 영화를 보든지 할 거예요.","tomorrow friend meet whether movie watch whether i will do it."
"가: 남자 친구 부모님께 드릴 선물로 뭐가 좋을까요? 나: 홍삼을 사든지 꿀을 사든지 하세요.","A: boyfriend parents to give will present what good will be? B: red ginseng buy whether honeoy buy whether do it."
"가: 돈을 모으려면 어떤 방법이 좋을까요? 나: 은행에 예근을 하든지 주식 투자를 하든지 하세요.","A: money save want to if what kind of method good will be? B: bank depsoit do whether, stock investment do whether either do."
"가: 고향에서 친구가 오는데 무엇을 하면 좋을까요? 나: N서울타워에 올라가든지 경복궁을 구경하든지 하세요.","A: hometown friend coming; what thing do if good shall be? B: N seoul tower go up or gyeongbokgung sightseeing do, do one of them."
"가: 자야 씨하고 웨이밍 씨가 자꾸 싸우는데 어떻게 하지요? 나: 원래 자주 싸우니까 싸우든지 말든지 신경 쓰지 마세요.","A: chaya and wei ming continuously fighting; what do we do? B: originally often fight cuz fight whether or don't fight whether nerves spend don't."
"가: 우리 아이는 모든 일을 스스로 하려고 하지 않는데 어떻게 하지요? 나: 나이가 들면 스스로 하게 되니까 지금은 하든지 말든지 가만히 둬 보세요.","A: our child everything by themselves try to do doesn't; what should we do? B: age older gets when by themselves do end up so now does whether or doesn't do whether leave alone try."
"가: 부장님께서 말씀하신 서류 작성을 아직 다 못했는데 어떻게 하지요? 나: 부장님께서 화를 내실 테니까 다 했든지 못 했든지 시간이 되면 그냥 제출하세요.","A: manager spoke about document writing still all couldn't do; what should i do? B: manager angry get will so all did whether or didn't do whether, time comes when just submit."
