"代身","대신하다. replace + person. instead of. exchange."
"드라마 대신 영화를 봤어요.","drama instead of movie saw."
"저 대신 전화를 받아 주세요.","me for/instead of phone receive pls."
"소고기 대신 돼지고기를 샀어요.","beef instead of pork bought."
"동물원 대신 박물관은 어때?","zoo instead of museum what about?"
"는 대신/는 것 대신","대신(에) with action verbs."
"한국 드라마를 보는 대신에 한국 문법을 공부했어요.","korean drama watching instead of korean grammar studied."
"밤에는 노래를 부르는 대신에 책을 읽으세요.","night song singing instead of book read."
"케이크를 만드는 대신에 쿠키를 만드는 건 어때요?","cake making instead of cookie making what about?"
"이번에는 직접 가는 것 대신에 전화를 해 보자.","this time going(thing) instead of call let's try."
"이번에는 직접 가는 대신에 전화를 해 보자.","this time going instead of call let's try."
"오늘은 노는 것 대신에 공부를 조금 하려고.","today playing instead of study little try to do."
"주다 대신에 or desc verb 대신에","in exchange for / despite."
"제가 한국어를 가르쳐 주는 대신에 스페인어를 가르쳐 주세요.","i korean teaching give in exchange for spanish teach me pls."
"저녁을 만들어 주세요. 대신에 설거지는 제가 할게요.","dinner make pls. in exchange dishes i do will."
"밖에 나가는 대신에 집에서 영화를 볼 거예요.","outside going instead of house at movie watch will."
"이건 맛이 없는 대신에 몸에 좋아요.","this thing taste bad in exchnage for body for good."
"가: 마크 씨, 점심 때 스테이크 먹을까요? 나: 오늘은 돈이 없는데 스테이크 대신에 햄버거를 먹으면 어때요?","A: mark, lunch time steak eat shall we? B: today money don't have; steak instead of hamburger eat if what about?"
"가: 날씬가 더우니까 안경이 불편하네요. 나: 그럼, 안경을 쓰는 대신에 렌즈를 겨 보세요.","A: weather hot cuz glasses uncomfortable. B: then glasses wearing instead of lens wear try."
"가: 가방은 정말 비싸네요. 나: 비싸긴 하지만 비싼 대신에 품질이 좋잖아요.","A: this bag really expensive. B: expensiveness does but expensive in exchange for quality good don't you agree."
"가: 마크 씨, 제가 한국어 숙제를 도와줄까요? 나: 정말이요? 그럼 수진 씨가 제 숙제를 도와주는 대신 제가 저녁을 살게요.","A: mark, i korean homework help give shall i? B: really? then if you (sujin) my homework helping in exchange for i dinner buy will."
"가: 커피 드시겠어요? 나: 커피를 마시면 잠이 안 와서요. 커피 대신 녹차를 주시겠어요?","A: coffee would you like? B: coffee drink if sleep doesn't come. coffee instead of green tea would you give pls."
"어제는 집에서 요리하는 대신 밖에 나가서 외식을 했어요.","yesterday house at cooking instead of outside went out and then eating out did."
"가: 옷을 바꾼다고 하더니 바꾸셨어요? 나: 아니요, 맞는 사이즈가 없어서 바꾸는 대신에 환볼했어요.","A: clothes change said recall, did you change? B: no right size didn't exist so changing instead of refund did."
"가: 동생 생일에 가바을 사 준다고 하더니 사 주셨어요? 나: 동생이 가방은 필요없다고 해서 가방을 사 주는 대신에 상품권으로 줬어요.","A: younger sibling birthday bag buy and give said recall, buy and gave? B: younger sibling bag doesn't need said so bag buy and giving exchange of gift card with gave."
"가: 가족들과 동물원에 간다고 하더니 갔다 오셨어요? 나: 비가 와서 동물원에 가는 대신에 박물관에 갔다 왔어요.","A: family with zoo go said recall, went and came? B: rain came so zoo going instead of museum went and came."
"가: 언니, 오늘은 내가 저녁을 준비할게. 나: 그럴래? 그럼 네가 저녁을 준비하는 대신 설거지는 내가 할게.","A: older sister today i dinner prepare will do. B: intend to do that? then you dinner preparing in exchange for dishes i will do."
"가: 언니, 내일 영화 표는 내가 예매할게. 나: 그럴래? 그럼 영화 표를 예매하는 대신 점심은 내가 살게.","A: sister, tomorrow movie tickets i reserve will. B: wanna do that? then, movie ticket reserving in exchange for lunch i buy will."
"가: 언니, 유럽에 여행갈 때 새로 산 내 카메라를 빌려줄게. 나: 그럴래? 그럼 카메라 빌려주는 대신 내가 유럽에서 예쁜 기념품을 사 올게.","A: sister, europe to trip go when newly bought my camera lend will. B: will you do that? thetn camera lending in exchange for i europe from pretty souvenir buy and come will."
