"경제","economy"
"경제. 요즘 한국 경제는 어떻습니까?","economy. These days korea economy as for how is?"
"달러. 은행에 가서 달러를 한국 돈으로 바꿨어요.","dollar. Bank to went and dollar, korean money using changed."
"도장. 은행에서 통장을 만들 때 도장이 필요해요?","stamp. Bank at deposit book make during stamp need?"
"돈. 요즘은 선물 대신 돈을 주는 사람도 많아요.","money. These days present instead money give people also a lot."
"동전. 여기에 백 원짜리 동전 3개를 넣으세요.","coin. Here 100 value coin 3 put in pls."
"들다. 해외로 여행을 가면 돈이 많이 들어요.","to cost money. Overseas trip go if money a lot costs."
"무역. 우리회사는 중국에 있는 회사와 무역을 많이 합니다.","trade. Our company china at existing company with trade a lot do."
"물가. 요즘 물가가 많이 올랐어요.","price of commodity, living cost. These days living cost a lot rose."
"벌다. 열심히 일해서 돈을 많이 벌었어요.","earn. Hard worked and then money a lot earned."
"부자. 부자가 되면 어려운 사람들을 도와주고 싶어요.","rich person. Rich person become if poor people help want to."
"부족하다. 새 컴퓨터를 사려고 하는데 돈이 좀 부족해요.","insufficient, lacking. New computer buy planned to but money little lacking."
"비밀번호. 비밀번호를 잊어버렸는데 어떻게 해요?","password. Password forgot how do?"
"신용 카드. 요즘은 현금보다 신용 카드를 사용하는 사람이 많아요.","credit card. These days as for cash compared to credit card using people a lot."
"신청. 은행에 신용 카드를 신청했는데 아직 못 받았어요.","application. Bank to credit card application did but yet can't receive"
"아끼다. 그렇게 돈을 많이 쓰지 말고 좀 아껴 쓰세요.","to use sparingly. Like that money a lot use don't and bit sparingly use pls."
"오르다. 월급이 많이 올라서 기분이 좋아요.","increase. Salary a lot increased so mood good."
"용돈. 저는 아르바이트를 해서 용돈을 벌었어요.","pocket money. I part time job did and then pocket money earned."
"월급. 우리 회사 월급이 다른 회사 월급보다 많아요.","a monthly salary. Our company salary other company salary compared to a lot."
"은행. 환전을 하러 은행에 가요.","bank. Exchange do in order to bank go."
"저금. 한 달에 얼마 정도 저금해요?","savings. One month how much approximate save?"
"중요하다. 취직할 때 가장 중요하게 생각하는 것이 뭐예요?","to be important. Job searching during most importantly thinking thing what is?"
"충분하다. 돈이 충분하니까 필요한 것을 모두 사세요.","to be sufficient, enough. Money enough cuz necessary things all buy."
"카드. 현금 카드가 있으면 돈 찾기가 편해요.","card. cash card have if money withdrawing convenient."
"통장. 은행에서 새 통장을 만들었어요.","bankbook. Bank at new bankbook made."
"필요. 여행갈 때 필요한 것을 모두 샀어요.","necessity, need. Travel during necessary thing all bought."
"현금. 현금이 없으면 신용카드로 계산하세요.","cash. Cash don't have if credit card with pay."
"환전. 미국 여행을 가기 전에 한국 돈을 달러로 환전했어요.","exchange of money. America trip going before, korean money dollar with exchanged."
