"교통 / 통신","transportation / communication"
"길 찾기","finding the way"
"가다. 명동에 가려면 지하철 4호선을 타세요.","to go. Myeongdong to go if subway 4 line take."
"건너가다. 다리를 건너갈 때 차가 많이 밀렸어요.","to cross. Bridge cross during car many stacked."
"걷다. 저는 집에서 학교까지 걸어서 갑니다.","to walk. I house from school walk go."
"길. 이 길을 차가 많아서 아주 복잡합니다.","road, street. This street car a lot so very crowded."
"돌다. 오른쪽으로 돌면 식당이 있습니다.","To turn. Right toward turn if restaurant is."
"돌아오다. 길을 몰라서 먼 길로 돌아왔어요.","return, to come a long way round. Road not know so far road came."
"돌아오다. 어제 여행에서 돌아왔어요.","to return, to come a long way round. Yesterday trip from returned."
"멀다. 집에서 회사까지 아주 멀어요.","far. House from company til very far."
"몇. 여기에서 학교까지 몇 분 걸려요.","how many, how much. Here from school til how many minutes takes?"
"묻다. 길을 몰라서 지나가는 사람에게 물어봤어요.","to ask. Road not know so passing person to asked."
"사거리. 서거리에 있는 신호등이 고장나서 길이 복잡해요.","intersection, crossroads. Intersection at traffic light broke so road crowded."
"약도. 약도를 보고 길을 찾아왔어요.","rough sketch of a map. Map saw and road found."
"어디. 학교가 어디에 있어요.","where. School where is?"
"얼마나. 시청까지 가려면 시간이 얼마나 걸려요?","how long, how much. = city hall til go if want to, time how much takes?"
"역. 가까운 지하철역에 내려 주세요.","station. Close station drop me off pls."
"우회전. 저 앞에서 우회전해 주세요.","the right, a right-hand turn. There front at right turn do pls."
"육교. 집에 갈때 육교를 건너가야 합니다.","a pedestrian overpass. House go during overpass cross have to."
"입구. 우리는 극장 입구에서 만나기로 했어요.","entrance. Our theater entrance at meet planned."
"정도. 집에서 학교까지 버스로 20분 정도 걸려요.","about. House from school til bus by 20 minutes about takes."
"정류장. 다음 정류장이 어디예요?","stop, station. Next stop where is?"
"좌회전. 사거리에서 좌회전해 주세요.","the left, a left-hand turn. Intersection from left turn do pls."
"주소. 주소를 알면 집을 쉽게 찾아갈 수 있어요.","address. Address know if house easily visit able to."
"지나가다. 학교 앞을 지나가다가 친구를 만났어요.","to go by, to pass by. School front passing friend met."
"출구. 신촌역 3번 출구에서 만나자.","exit. Sinchon 3 exit at meet let's"
"한. 집에서 학교까지 한 30 분쯤 걸려요.","about. House from school til about 30 minutes takes."
"회전. 약국 앞에서 좌회전해서 쭉 올라오세요. 그러면 조회 회사가 보여요.","Turn. pharmacy front from turn and straight up go. Then company is seen."
"횡단보도. 파란 불이 켜지면 횡단보도를 건너세요.","crosswalk. Blue light on when crosswalk cross pls."
