"우편","mail"
"답장. 편지를 읽고 바로 답장을 썼습니다.","reply. Letter read and immediately reply wrote."
"배달. 우체부 아저씨가 편지를 배달해 주십니다.","delivery. Post man letter delivers."
"보내다. 저는 부모님께 편지를 자주 보내요.","send. I parents to letter often send."
"봉투. 편지 봉투에 주소를 쓰고 우표를 붙이세요.","envelope. Letter envelope on address write and stamp stick pls."
"부치다. 편지를 부치러 우체국에 갑니다.","send. letter send in order to post office go."
"소식. 좋은 소식을 들으니까 기분이 좋네요.","news. Good news hear cuz mood good."
"소포. 친구 선물을 소포로 부쳤어요.","a parcel. Friend present parcel by sent."
"올림. 어른에게 편지 쓸 때는 'ㅇㅇ울림'이라고 써요.","yours truly. Adult to letter write during '_your truly' write."
"우편. 미국에 있는 친구가 선물을 우편으로 보냈어요.","postal service. America at existing friend present postal service by sent."
"우표. 편지를 썼는데 우표가 없어서 못 보냈어요.","stamp. Letter write but stamp not have so couldn't send."
"전하다. 안나 씨에게 이 편지를 전해 주세요.","to pass something on. Anna to this letter pass for me pls."
"편지. 일본에 있는 친구에게 편지를 받았어요.","letter. Japan living friend from letter received."
