"전화","telephone"
"걸다. 친구에게 전화를 걸었는데, 통화 중이었어요.","call. friend to call but, phone conversation middle of was."
"공중전화. 학교 안에 공중전화가 있어요.","payphone, public phone. School inside payphone is."
"누르다. 번호를 잘못 눌러서 다른 곳에 전화했어요","to press, to push. Number wrong pressed so different place to called."
"메시지. 전화를 안 받으면 음성 메시지를 남기세요.","message. Phone don't receive if voice message leave."
"번호. 비밀번호를 알아야 음성 메시지를 들을 수 있어요.","number. Secret number know need to voice message hear be able to."
"소리. 갑자기 큰 소리가 나서 깜짝 놀랐어요.","sound, voice. Suddenly big noise grow/heard with startle surprised."
"알리다. 이 기쁜 소식을 먼저 부모님께 알리고 싶습니다.","to tell someone, let them know. this happy news first parents tell want to."
"여보세요. 여보세요, 거기 김 선생님 댁이지요?","hello. Hello, there kim teacher house is right?"
"연락. 일이 있으면 아무 때나 연락 주세요.","contact. Work have if any time contact me."
"전화. 주말마다 부모님께 전화를 합니다.","a phone, a call. Weekend every parents to call do."
"통화. 리에 씨랑 통화하고 싶은데요.","lee with telephone conversation want to but."
"팩스. 자료를 팩스로 보내 주세요.","fax. Material fax by send to me pls."
"휴대폰. 집 전화가 고장이 나서 휴대폰으로 전화했어요.","cell phone. House phone broke cell phone with called."
