"장소","places"
"건물","buildings"
"건물. 식당은 이 건물 2층에 있어요.","building. restaurant this building 2nd floor is."
"계단. 엘리베이터가 고장 나서 계단으로 올라갔어요.","stairs. Elevator broke so stairs using came up."
"교회. 저는 일요일마다 교회에 가요.","church. I sunday every church go."
"낮다. 저 산은 낮지만 올라가기 힘든 산이에요.","low. that mountain low only going hard mountain is."
"내려가다. 2층에서 1층으로 내려갈 때는 계단을 이용하세요.","down. 2nd floor from, 1st floor using down during stairs use."
"높다. 서울에는 높은 빌딩이 아주 많아요.","high. Seoul high building very a lot."
"대사관. 비자를 받으려면 대사관에 가야 돼요","embassy. Visa receive if you want to, embassy go have to."
"박물관. 김치 박물관에 가면 여러 가지 김치를 먹어 볼 수 있어요.","museum. Kimchi museum go if several kinds kimchi eat try able to."
"병원. 감기가 너무 심한 것 같은데, 병원에 가 보세요.","hospital. Cold very excessive/severe think cuz hospital go try."
"빌딩. 이 빌딩 5층에 우리 사무실이 있어요.","building. This building 5th floor our office is."
"소방서. 불이 나면 소방서에 전화하세요.","fire station. Fire grows if fire station call."
"실내. 실내에서는 모자를 벗으세요.","indoors / interior. Indoors at as for, hat take off"
"아파트. 서울에는 아파트가 참 많아요.","apartment. Seoul in apartment very a lot."
"예식장. 신랑, 신부가 예식장에 들어오고 있어요.","wedding hall. Bride, groom, wedding wall entering."
"우체국. 외국으로 편지를 보내고 싶은데, 우체국이어디에 있지요?","post office. Foreign country letter send want to but, post office where is the post office right?"
"절. 한국에는 아름다운 절이 많습니다.","a (buddhist) temple. Korean in beautiful temple a lot."
"출입입. 그곳은 위험한 곳이라서 출입 금지예요.","entrance / exit. That place danger place is so entrance prohibited."
"학원. 저는 요리를 배우러 요리 학원에 다녀요.","academy institute. I cooking learn in order to cooking academy atten"
"호. 한국어 수업은 122에서 해요.","room number. Korean classes 122 room at do."
"호텔. 싸고 좋은 호텔을 좀 알려 주세요.","hotel. cheap good hotel little let me know."
"회사. 아침 8시까지 회사에 출근해야 해요.","company. morning 8 by company go to work have to."
"휴게실. 잠깐 휴게실에 가서 커피를 한 잔 하자.","a lounge, a room for rest. For a bit lounge go and coffee 1 glass do."
