"동네","neighborhoods."
"고향. 설날이나 추석에는 고향에 가는 사람들이 아주 많아요.","hometown. New year or chuseok hometown people that go very many."
"공원. 공원에 가서 산책을 하자.","park. park to go and walk do let's/"
"다방. 커피숍을 옛날에는 다방이라고 했어요.","tea and coffee shop. Coffee shop long ago 'coffee shop' called."
"댁. 선생님 댁은 어디세요?","house (honorific). Teacher house where?"
"동. 저는 혜화동에 살아요.","block community. I hyehwa-dong live."
"동네. 우리 동네에는 음식점이 많이 있어요.","neighborhood, village. our neighborhood in diner a lot are."
"마을. 우리는 어렸을 때부터 한 마을에서 살았어요.","village. We young during from one village at lived."
"매점. 매점에 가서 빵하고 우유 좀 사 오세요.","snack store. Snack store in go and bread and milk to buy come please."
"문구점. 이 근처에 가까운 문구점이 어디에 있어요?","stationery store. this vicinity near stationery store where is?"
"분식집. 분식집에서 김밥과 라면을 사 먹었어요.","snack bar. Snack bar at kimbap and ramen buy and ate."
"서점. 서점에 가서 책을 샀어요.","bookstore. Bookstore went book bought."
"시골. 시끄럽고 바쁜 도시보다 조용하고 한가한 시골이 더 좋아요.","country, country side. noisy and busy city than quite and leisurely country side more like."
"장소. 약속 장소가 어디인지 잊어버렸어요.","place. Promise place where is forgot."
"주유소. 주유소에서 기름을 넣고 갑시다.","gas station. Gas station at oil put in and go let's."
"책방. 근처에 책방이 없어서 책을 사려면 멀리 가야 해요.","bookstore. vicinity in bookstore isn't so book buy if want to far go have to."
"카페. 분위기 좋은 카페에 가서 커피 한 잔 합시다.","cafe. Atmosphere good cafe go and coffee one cup do let's."
"편의점. 한국에는 24시간 문을 여는 편의점이 많아서 밤에도 물건을 살 수 있어요.","convenience store. Korea in 24r hour door open convenience store a lot so night also goods buy able to."
"하숙. 저는 조용히 지낼 수 있는 하숙을 찾고 있어요.","boarding house. I quietly live able to boarding house looking."
"Pc방. 제 컴퓨터가 고장나서 pc방에 가서 숙제를 했어요.","internet cafe. My computer broke so internet cafe went and homework did."
