"집 / 자연","house / nature"
"동식물","animals and plants"
"강아지. 우리 집 개가 어제 강아지 세 마리를 낳았어요.","puppy. Our house dog yesterday puppy 3 gave birth."
"개. 저는 개를 아주 좋아해서 3마리나 길러요.","dog. As for me, dog very like so 3 as many as raise."
"고양이. 저는 강아지보다 고양이가 더 좋아요.","cat. I dog more than cat more like."
"곰. 그 사람은 행동이 너무 느려서 곰 같아요.","Bear. that person action very slow and bear like."
"기르다. 우리 집에서는 새도 기르고 개도 길러요.","To raise. Our house at bird also raise and dog also raise."
"꽃. 오늘이 리에 씨 생일이니까 꽃을 사 가지고 가자.","flower. Today leah birthday so flower buy and go."
"나무. 식목일에 산에 가서 나무를 심었어요.","tree. Arbor day mountain went and tree planted."
"동물. 강아지나 고양이 같은 동물들이 아플 때는 동물병원에 데려가요.","animal. Puppy or cat like animal, sick will be when, vet take."
"말. 제주도에 가면 꼭 말을 타 보세요.","horse. Jeju go if, for sure, horse ride try."
"사자. 사자를 '동물의 왕'이라고도 불러요.","lion, animal's king, is also called"
"새. 하늘에 새 한 마리가 날고 있어요.","bird. Sky bird 1 flying."
"소. 열심히 일하는 사람을 소 같다고 말해요.","cow. hard working person, ""cow like"" we say."
"원숭이. 동물원에 가서 원숭이에게 바나나를 주었어요.","monkey. Zoo went and monkey to banana gave."
"잎. 나뭇잎이 한 잎 두 잎 떨어져요.","Leaf. tree leaf one leaf two leaf falling."
"장미. 5월에는 장미 꽃이 활짝 핍니다.","rose. May rose flower completely bloom."
"쥐. 쥐가 고양이를 보자마자 도망갔어요.","mouse. mouse cat see, immediately, flees"
"코끼리. 코끼리는 몸이 크고 코가 길어요.","elephant. elephant body big and nose long."
"토끼. 토끼는 귀가 길어요.","rabbit. rabbit ear long."
"피다. 꽃이 활짝 피어서 정말 예뻐요.","bloom. Flower completely bloom cuz very pretty."
"호랑이. 우리 선생님은 무서워서 호랑이 선생님이라고 불러요.","tiger. Our teacher scary cuz tiger teacher call."
