"집안","household"
"계시다. 교수님은 지금 댁에 계실 거예요.","to be (honorific). professor now home at be must/seems."
"깨끗하다. 방을 청소해서 아주 깨끗해요.","to be clean. Room cleaned cuz very clean."
"넓다. 왕위 씨 집의 거실은 정말 넓어요.","to be wide. Wangwi house's living room very wide."
"놓이다. 식탁 위에 수저가 놓여 있어요.","to be placed. Table top of spoon placed is."
"더럽다. 집 안이 너무 더러우니까 청소를 좀 해야겠어요.","dirty. House inside very dirty cuz of clean have to it seems"
"살다. 저는 서울에 살아요.","to live. I seoul live."
"시끄럽다. 밖이 왜 이렇게 시끄럽지?","noisy outside why this noisy isn't it?"
"있다. 오늘 왕위 씨에게 좋은 일이 있는 것 같아요.","to have, to be. Today wangwi to good something happened think."
"조용하다. 우리 집 주변은 아주 조용해요.","quiet. Our house around very quiet."
"좁다. 내 방은 좁아서 불편해요.","narrow. My room narrow so uncomfy."
"편하다. 이 옷은 크고 편해서 집에서 입기에 좋아요.","comfortable, convenient. these clothes big and comfy so house at wearing good."
