"집안 가구 / 물건","household furniture / goods"
"가구. 침대나 옷장 같은 가구들은 제가 결혼할 때 사 왔어요.","furniture. Bed or closets like furniture as for, I marry when bought."
"상. 배가 고프니까 빨리 상을 차려서 밥을 먹을까요?","dining table. Hungry cuz of quickly table set and then eat shall we?"
"서랍. 지우개나 연필은 책상 서랍에 넣으세요.","drawer. Eraser or pencil desk drawer put please."
"소파. 손님들이 거실에 있는 소파에 앉아 있어요.","Guests living room existing sofa on are sitting."
"수도. 수도를 덜 잡았는지, 물 떨어지는 소리가 들리네요.","Water service, tap. Tap incompletely held/closed when, water falling sound hear."
"식탁. 음식을 식탁에 차리세요.","dining table. Food dining table set please."
"실. 단추를 달아 줄게. 바늘하고 실을 가지고 와.","thread. Button fasten i shall. Needle and thread bring and come."
"액자. 벽에 액자를 걸었습니다.","(picture) frame. Wall picture frame hung."
"열쇠. 열쇠가 없어서 집에 못 들어갔어요.","key. Key don't have so house can't enter."
"우산. 비가 오니까 우산을 가지고 가세요.","umbrella. Raining so umbrella bring and go please."
"이형. 아기가 인형을 안고 자요.","doll. Baby doll hug and sleep."
"장난감. 동생 생일 선물로 장난감을 샀어요.","toy. Younger sibling birthday present for toy bought."
"책장. 책은 책장에 꽂으세요.","bookshelf, bookcase. Book bookshelf put please."
"초. 생일 케이크에 초를 몇 개 꽂을까요?","candle. Birthday cake candle how many put shall i?"
"침대. 저는 잘 때 가끔 침대에서 떨어져요.","bed. I sleep during, sometimes bed from fall."
"칼. 사과 깎아 줄게. 칼을 가지고 와.","knife. Apple peel i shall for you. Knife bring and come."
"커튼. 방 안이 어두우니까 커튼을 걷어 주세요.","room inside dark so curtain rollup/close please."
"탁자. 커피 잔을 탁자 위에 놓았어요.","desk table. Coffee cup table on put."
"테이블. 거실에 테이블이 하나 놓여 있어요.","table. Living room in table one is placed."
"피아노. 저는 피아노를 아주 잘 쳐요.","piano. i piano very well strike."
"휴지. 휴지로 코를 닦았어요.","tissure, paper, tissue with noise wiped."
