"집안일","housework"
"깨지다. 설거지를 하다가 그릇이 깨졌어요.","broken. Dishes do while bowl was broken."
"꺼내다. 세탁기 에서 빨래를 꺼냈어요.","take out. Washing machine from laundry took out."
"끄다. 집에서 나가기 전에 불을 모두 끄세요.","to turn off, to put out. House from leaving before lights all turn off please."
"꽃다. 꽃병에 꽃을 꽂으세요.","To put, to put, to arrange. vase in flower put please."
"넣다. 겨울 옷을 옷장에 넣으세요.","put in. winter clothes closet put in pls."
"놓다. 책상 위에 책을 놓으세요","put, place. desk top book put pls."
"다리다. 다리미로 제 셔츠를 다려 주세요.","to iron. Iron with my shirt iron pls."
"딱다. 구두를 깨끗이 닦아서 신고 다니세요.","wipe. shoes clean wipe and then wear and polish."
"두다. 어디에 이 꽃병을 뚤까요.","to set. where this vase set shall i?"
"떨어지다. 방바닥에 물이 떨어져서 걸레로 닦았어요.","to drop. floor water dripping so mop with wiped."
"말리다. 옷을 말릴 시간이 없어서 다리미로 말렸어요.","dry. clothes dry time not have so iron with dried."
"불. 어두우니까 불을 켭시다.","light, fire. Dark cuz of light turn on let's"
"비누. 비누로 얼굴을 깨끗이 씻으세요","soap. Soap with face cleanly wash."
"빨래. 일주일 동안 빨래를 안 해서 입을 옷이 없어요.","laundry. Week duration laundry not do so dont have clothes to wear."
"설거지. 밥을 먹고 난 후에 설거지를 바로 하세요.","dishes. meal eat after after dish-washing do pls."
"세탁. 흰 옷은 색깔 옷과 ㄸ로 세탁하세요.","laundry, a wash. White clothes as for, colored clothes with separate wash."
"수리. 세탁기가 고장나서 수리해야 돼요.","repair, mending. Washing machine broken so repair have to."
"심부름. 엄마 심부름으로 시장에 갔다 왔어요.","errand. Mom errand for market went and came"
"쓰레기. 길에다 쓰레기를 버리지 맙시다.","garbage, waste. Street trash throw let's not"
"이사. 제 친구가 서울로 이사를 왔어요.","move. My friend seoul to move came."
"정리. 책상이 너무 지저분해서 정리를 했어요.","arrangement. Desk very messy so clean did."
"집들이. 새 집으로 이사하고 나서 집들이를 했어요","housewarming party. new house move after housewarming party did."
"집안일. 요즘은 남편들도 집아일을 많이 도와줘요.","housework. These days husabands also housework a lot help."
"청소. 집 안을 여기저기 깨끗하게 청소하세요.","cleaning. House inside everywhere cleanly clear pls."
"초대. 제 생일 파티에 친구들을 초대했어요.","invitation. My birthday party friends invited."
"켜다. 텔레비전을 켜 주세요.","turn on. Tv on pls for me."
