"쯤. 12월 20일쯤 연락할게요.","around. December 20 around will be in touch."
"이것 참! 큰일 났네요.","quite, truth indeed. This indeed. Big deal became."
"기타","etc"
"가장. 제가 가장 좋아하는 과일은 사과에요.","the most. Mine most liked fruit apple."
"같다. 우리는 같은 고향에서 왔어요.","to be the same. We same hometown came."
"거의. 감기가 거의 다 나아서 지금은 괜찮아요.","almost. cold almost all recover so now okay."
"굉장히. 학교 앞에 새로 지은 빌딩이 굉장히 높네요.","very, immensely. School front of new building very tall."
"그냥. 집에 가자마자 아무것도 하지 않고 그냥 잤어요.","just. Home got as soon as anything not do just slept."
"그래. 그래 같이 가자.","all right. All right together let's go."
"너무. 그건 너무 매워서 먹을 수가 없어요.","too. That thing too spicy so eat unable to."
"누가. 노가 이 그림을 그렸어요?","who. Who this drawing drew?"
"무엇. 점심에 무엇을 먹고 싶어요?","what. Lunch what eat desire?"
"도둑. 집에 도둑이 들었어요.","thief. House thief entered."
"덜. 아직 덜 읽었어요.","incompletely, less. No yet incompletely read."
"덜. 전 어제보다 덜 추운 것 같은데요.","incompletely, less. I yesterday compared to less cold think."
"등. 우리 학교에는 미국 사람, 일본 사람, 중국 사람 등 여러 나라 학생들이 있어요.","etc. Our school many country student has"
"말다. 걱정하지 마세요","to do not, instead of. Don't worry."
"말다. 왕위 씨 말고 리에 씨가 하세요.","to do not, instead of. wangwi instead of lee do."
"매우. 그 사람은 매우 착하고 성실합니다.","very. That person kind and sincere."
"몹시. 기분이 몹시 나빠요.","awfully. mood awfully bad"
"무척. 그 소식을 듣고 무척 기뻤어요.","Very. that news heard and very was happy."
"아. 아, 그래요?","oh! Oh, is that so?"
"아무리. 공부를 아무리 열심히 해도 성적이 오르지 안하요.","no matter how. Study no matter how hard do grades rise don't"
"아이고. 아이고, 지갑을 집에 놓고 나왔네!","dear me, oh my goodness, ouch. Oh my, i left my wallet at home"
"아주. 요시코 씨는 노래를 아주 잘 불러요.","very. Yoko song very well sings."
"안. 오늘은 별로 안 추워요.","not. Today much not cold."
"않다. 일요일에는 회사에 가지 않아요. 회사 일이 쉽지 않아요.","not to do. not to be. I don't go to work on sundays. Company work easy not."
"어느. 이모자들 중에서 어느 것이 마음에 들어요?","Which. These hats among which one heart follows?"
"어떤. 그사람이 어떤 사람인지 얘기해 주세요.","what kind. That person what kind person is please tell me."
"어휴. 어휴, 이렇게 많은 일을 언제 다 하지요?","boy, oh my. Oh my when can i do all this?"
"여러. 백화점에는 여러 가지 물건들이 많이 있어요.","several. Department store several kinds items a lot have."
"왜 그 사람은 왜 안 왔어요?","why. That person why did not come?"
"음. 음 조금 짠 것 같아.","well. Well, little salty think."
"응. 응 알았어.","yes. Yes understand."
"잘. 올가 씨는 매운 음식을 아주 잘 목어요.","well, often. olga spicy food very well eats."
"잘. 저는 그 식당에 잘 가요.","well, often. I that restaurant often go."
"저. 저, 혹시 지금 몇 시인지 아세요.","say, well. Say, perhaps now which time is know?"
"적어도. 그 사람은 적어도 40세는 되었을 거예요.","at the least. that person at least 40 must be."
"전혀. 저는 고기는 전혀 안 먹어요.","never. I meat never ever eat."
"적어도. 그 사람은 적어도 40세는 되었을 거예요.","that person at least 40 years be will."
"정말. 그 말이 정말이에요?","the truth, really. those words truth?"
"정말. 난 너를 정말 사랑해.","the truth, really. I you really love."
"정말. 큰일났네 정말!","the truth, reality. Became serious really."
"제일. 세계에서 제일 높은 산은 에베레스트 산이에요.","most. World most high mountain everest mountain is."
"좀. 연필 좀 빌려 주시겠어요?","please, little. Pencil pls borrow may i?"
"좀. 이건 좀 이상해요.","please, a little. this little weird."
"주로. 저는 시간이 있으면 주로 운동을 해요.","mainly. I time have if, mainly exercise do."
"줍다. 저기 떨어진 공 좀 주워 주세요.","pick up. Hey, thrown ball pls pickup."
"진짜. 장난감 총을 진짜처럼 만들었어요","real thing, really. Toy gun real thing like made."
"진짜. 영화가 진짜 지루했어요.","the real thing, really. movie boring was."
"참. 그 말이 참이에요? 거짓이에요?","quite, truth, indeed. those words truth is? lie is?"
"참. 경치가 참 좋아요.","quite, truth, indeed. scenery quite good."
"참. 이것 참! 큰일 났네요.","quite, truth, indeed. this quite. serious grew."
