"사람","people"
"가족 / 친척","family relatives"
"가족. 가족이 모두 몇 명이에요? 저까지 5명이에요. 할머니, 아버지, 어머니, 남동생이 있어요.","Family. Family all together how many people? Including me 5 people. Grandma father, mother, younger brother have."
"고모. 제가 어렸을 때 고모가 우리 가족과 함께 살았습니다.","aunt (father's side). When i was young, our aunt family with together lived."
"나. 나는 아직 점심 안 먹었어. 너는 먹었어?","i, me. As for me, yet lunch didn't eat, did you eat?"
"남동생. 저는 남동생이 한 명, 여동생이 한 명 있어요.","a younger brother. I have one younger brother and one younger sister."
"남편. 제 남편은 요즘 회사에 일이 많아서 집에 늦게 와요","husband. My husband, these days company at work a lot (has) so home late comes."
"누나. 우리 누나는 저보다 두 살이 많아요.","older sister (used by males). Our sister me compared to two years more."
"동생. 제 동생은 운동을 잘하는데 저는 못해요.","younger sibling. My younger sibling exercise/sports well does but as for me i can't."
"딸. 우리 집은 딸만 둘입니다.","daughter. our house as for daughter only two is."
"막내. 저는 형이 두 명, 누나가 한 명 있어요. 제가 막내예요.","youngest. I have one older brother and one older sister. I am the youngest in the family."
"모시다. 부모님을 모시고 공항에 갔어요.","to accompany (honorific). Parents accompany and airport went."
"부모. 요즘에는 결혼 후에 부모와 함께 사는 사람들이 별로 없어요.","parents. These days as for, marriage after parents with together living people not really much."
"삼촌. 우리 삼촌은 아버지보다 10살이 적어요.","uncle (father's side). Our uncle as for, father compared to 10 years smaller"
"식구. 우리 식구는 모두 5명이에요.","family member(s). Our family as for 5 people is."
"아기. 아기의 웃는 얼굴이 정말 귀여워요.","baby. Baby's laughing face very cute."
"아내. 저는 대학교에 다닐 때 아내를 처음 만났습니다.","wife. When i attended university, i met my wife for the first time."
"아들. 제 이모는 아들이 세 명 있습니다.","son. My aunt son 3 has."
"아버지. 앤디 씨 아버지는 지금 미국에 계세요.","father. Andy's father now america lives."
"아이. 공원에서 아이들이 놀고 있어요.","kid, child. Park at children are playing."
"어른. 할아버지가 우리 집에서 제일 어른이세요.","an adult. Grandfather our house at adult is."
"어머니. 저는 오늘 어머니께 편지를 썼습니다.","mother. I today mother with letter wrote."
"언니. 올가 씨는 언니가 있어요?","older sister (used by females). Olga do you have a sister?"
"엄마. 엄마가 보고 싶어서 어제 전화를 했어요.","mom. Mom missed / see wanted so yesterday call did."
"여동생. 제여동생은 대학생이고, 남동생은 고등학생이에요.","younger sister. My younger sister is a university student and younger brother as for high school student is."
"오빠. 오빠는 아버지를 닮았고, 저는 어머니를 닮았어요.","an older brother (used by females). Older brother dad resembles and me as for, mom resemble."
"우리. 우리 가족은 서울에 살아요.","we, our, our family as for seoul in lives."
"저희 부모님은 여행을 자주 다니세요.","we, our (honorific). Our parents as for, travel often commute / go continuously / attend"
"조카. 저는 다음 달에 조카가 생겨요.","nephew, niece. I next month nephew get/occur."
"친척. 저는 명절에는 친척들이 많이 살고 있는 부산에 가요.","relative. I as for, traditional holiday on as for relatives many living where busan to go."
"할머니. 저희 할머니는 올해 여든이세요.","grandmother. Our grandmother as for this year 80 is."
"할아버지. 저희 할아버지는 3년 전에 돌아가셨어요.","grandfather. our grandfather 3 years ago passed away"
"형. 우리 형은 작년에 군대에 갔어요.","older brother (used by males). Our brother last year military went."
