"감정","emotions"
"걱정. 피터 씨는 하숙집을 못 구해서 걱정입니다.","anxiety, worry. peter boarding house couldn't obtain/find cuz worried."
"그립다. 안나 씨는 1년 전에 한국에 왔습니다. 그래서 지금 고향이 그립습니다.","to be missed, to be longer for. Anna came to korea 1 year ago. That's why now she misses her hometown."
"기분. 상을 받았는데 기분이 어때요?","feeling. Reward received, how are you feeling?"
"기쁘다. 여러분을 알게 되어서 참 기쁩니다.","to be glad, to be happy. Everyone came to know / get to know cuz very happy."
"깜짝. 친구가 갑자기 큰 소리로 불러서 깜짝 놀랐어요.","surprisingly, all of a sudden. Friend suddenly loud voice with called/sang so all of sudden / surprisingly / very surprised."
"놀라다. 처음 본 외국 사람이 한국말을 잘해서 놀랐어요.","to be surprised, amazed. First time that i saw a foreigner korean well speak cuz surprised."
"느끼다. 어머니의 편지를 읽고 어머니의 사랑은 느꼈어요.","to feel. Mom's letter red and mom's love felt."
"답답하다. 하숙방이 좁고 창문이 없어서 답답해요.","to be stuffy. Boarding room narrow and window doesn't have so stuffy"
"답답하다. 한국말을 잘 못해서 답답해요.","to feel helpless. Korean well can't do so feel helpless."
"무섭다. 저는 무서운 영화를 싫어해요.","to be scary. I hate scary movies."
"부럽다. 저는 한국말을 잘하는 안나 씨가 부러워요.","to be envious. Im envious of anna who can speak korean well."
"불안. 시험 때문에 불안해서 잠을 못 잤어요.","Uneasiness, restlessness. Test because restless did so sleep couldn't sleep."
"사랑. 저는 사랑하는 사람과 결혼하고 싶어요","love. as for me, person that i love / loving person marry want to."
"상쾌하다. 운동한 후에 샤워를 하면 기분이 상쾌해요.","To be refreshing. If you shower after exercising it is refreshing (mood)."
"섭섭하다. 고향에 돌아가는 것은 기쁘지만, 친구들과 헤어져서 섭섭해요.","To be sad/regretful. Hometown returning enjoy but friends with part so regretful/sad."
"슬프다. 어제 본 드라마가 너무 슬펐어요","to be sad. Yesterday, drama that we watched very sad."
"신나다. 아이들이 놀이 공원에서 신나게 놀았습니다.","the kids amusement park at excitedly played."
"심심하다. 리에 씨는 어제 약속이 없어서 하루 종일 집에 혼자 있었어요. 그래서 너무 심심했어요.","to be bored cuz have too much time. Leah as for yesterday plans didn't have so all day long house alone stayed. Therefore, very bored."
"외롭다. 리에 씨는 혼자 살아서 가끔 외롭습니다.","to be lonely. Leah as for alone live vs sometimes lonely."
"우울하다. 저는 취직 시험에 계속 떨어져서 우울합니다.","To be depressed. I job test continuously failed so depressed."
"울다. 올가 씨는 슬픈 영화를 보고 울었어요.","cry. olga sad movie watched and cried."
"웃다. 피터 씨는 항상 웃으면서 이야기를 합니다.","to smile, laugh. Peter always laughing while stories/talk tells."
"즐겁다. 저는 한국 생활이 즐겁습니다.","to be enjoyable, to be cheerful. I korean life enjoy."
"지루하다. 매일 똑같은 일을 하면 지루해요","bored. everyday same work do if boring."
"편안하다. 시험이 끝나서 마음이 편안해요.","To be free from anxiety, at ease. The test ended so heart at ease."
"행복. 사랑하는 사람과 결혼해서 행복해요.","happiness. The person i love i married so im happy."
"화. 친구가 저한테 거짓말을 해서 화가 났어요.","anger. Friend, me to, lie did so angry got."
