"인생","life"
"결혼. 친구 결혼 선물로 뭐가 좋을까요?","marriage. Friend marriage present for what good will be?"
"고미. 요즘 취직 문제 때문에 고민이 많아요.","worry. These days job searching problem because worry a lot."
"고생하다. 처음에는 한국어를 몰라서 고생했어요.","experience hardship. At first, korean didn't know so experienced hardship."
"군대. 한국 남자들은 보통 몇 살에 군대에 가요?","army, military. Korean guys as for which age military go."
"꿈. 어젯밤에 무서운 꿈을 꾸었어요.","dream. Last night scary dream dreamt."
"꿈. 제 어릴 때 꿈은 피아니스트가 되는 거였어요.","I young when, dream as for, pianist becoming was."
"나이. 리에 씨가 올가 씨보다 나이가 세 살 많아요.","age. Leah olga compared to age 3 years more."
"데이트하다. 데이트할 때 어디에 자주 가세요?.","To date. Dating when where often go?"
"돌잔치. 아기 돌잔치에 친척들과 친구들을 초대했어요.","baby first birthday on relatives and friends had over."
"되다. 저는 어렸을 때 의사가 되고 싶었어요.","to become. I as for young was when doctor become wanted to"
"되다. 한국에 와서 한국말을 잘하게 되었어요.","become. Korean to came and korean well do, came to be. (i came to be good at korean)."
"바라다. 건강하게 잘 지내시기를 바랍니다.","To wish, to hope. Healthily well living i hope (honorifics imply you)."
"생년월일. 여기에 이름, 주소, 생년월일을 적어 주세요 .","the date of birth. Here name, address, date of birth write down pls."
"생신. 다음 주 월요일이 아버지 생신인데 무슨 선물이 좋을까요?","birthday (honorific). Next week monday father birthday is what what present good will be do you think?"
"생일. 생일 축하합니다.","birthday. Happy birthday."
"성별. 아기가 태어나면 보통 제일 먼저 성별을 물어봐요.","gender, sex. Baby born when /if usually the most first gender/sex ask."
"신랑. 결혼식에서 신랑은 신부의 왼쪽에 서요.","a groom. Wedding dinner at groom as for bride's left side stands."
"신부. 웨딩드레스를 입은 신부가 정말 아름다워요.","the bride who wore the wedding dress very beautiful."
"신호. 두 사람은 하와이로 신혼 여행을 떠났어요.","a new marriage. Two people as for hawaii to new marriage trip (honeymoon) left."
"어리다. 앤디 씨는 저보다 두 살 어려요.","to be young. Andy as for me compared to 2 years younger."
"어린이. 어린이날이 몇 월 며칠이에요? 5월 5일이에요.","child. What month and what date is children's day. May 5th is."
"연세. 어머니 연세가 어떻게 되세요? 올해 쉰셋이세요.","how old is your mother? This year 53 is."
"운. 난 정말 운이 없어요.","Luck. i'm really unlucky."
"이민. 요즘 한국 사람들이 이민을 많이 갑니다.","emigration, immigration. These days korean people emigrating go."
"잔치. 아버지의 60번째 잔치를 호텔에서 했어요.","feast. Father's 60th birthday fear hotel at did."
"죽다. 우리 집 강아지가 어제 죽었어요.","to die. Our house dog yesterday died."
"축하. 결혼 축하합니다. 축하해 주셔서 감사합니다.","congratulations. Marriage congrats. Congrats gave so thankful."
"취직. 왕핑 씨는 대학교를 졸업한 후에 좋은 회사에 취직했어요.","employment getting a job. Wang wi as for college graduating after good company in employment did / got job."
"태어나다. 저는 부산에서 태어나서 서울에서 자랐어요.","to be born. I busan at borned and then seoul raised."
