"직업","occupations"
"가수. 요즘 한국에서 가장 인기 있는 가수가 누구예요?","these days korean at most popular having singer who is?"
"간호사. 병원에서 간호사가 제 팔에 주사를 놓았어요.","nurse. hospital at nurse my arm shot put."
"경찰. 길을 잃어버려서 경찰에게 길을 물어봤어요.","police officer. Way lost so police officer to way asked."
"공무원. 저는 작년에 공무원 시험에 합격해서 지금 서울 시청에서 일하고 있어요.","government employee. Last year government employee test passed so now seoul city hall working."
"과학자. 어렸을 때 아인슈타인 같은 과학자가 되고 싶었어요.","a scientist. Young was when einstein like scientist become wanted to."
"교수. 아버지께서는 무슨 일을 하세요? 대학 교수세요. 대학 교수세요.","professor. Your father as for what job does? University professor is."
"군인. 우리 오빠는 지금 군인이에요.","military personnel. Our brother now military personnel is."
"기술자. 그회사에서는 여러 나라에서 온 기술자들이 함께 일하고 있어요.","That company at as for several country from that came technicians together working."
"기자. 요시코 씨는 일본 신문사 기자인데 한국에서 일하고 있어요.","reporter, newspaperman. Yoko as for japanese newspaper company report is but korean at working."
"농부. 요즘 시골에는 젊은 농부들이 별로 없어요.","farmer. These days countryside young farmers not really exist."
"님. 한국 에서는 가르치는 사람을 선생님이라고 하야 해요.","sir. In korea teaching person 선생님 call have to."
"배우. 어제 본 영화배우의 이름을 알고 싶어요.","actor, actress. Yesterday seen movie actor's name know want to."
"변호사. 저는 변호사가 돼서 힘이 없고 가난한 사람들을 도와주고 싶어요.","i as for lawyer become and then power not having and poor people help give want to."
"비서. 비서가 사장님은 지금 자리에 안 계신다고 했어요.","secretary. The secretary said the boss is not at his desk for now."
"승무원. 비행기 승무원이 아주 친절해서 좋았어요.","flight attendant, crew. Fight crew very kind so good was."
"우체부. 오늘 오후에 우체부 아저씨가 소포를 배달해 주셨어요.","mail carrier, postman. This afternoon the mailman delivered a package."
"은행원. 저는 한국에 오기 전에 일본에서 3년 동안 은행원으로 일했어요.","bank employee. I as for korea coming before japan at 3 years duration bank employee as worked"
"의사. 병원에 가서 의사 선생님한테 진찰을 받았어요.","doctor. Hospital went and doctor teacher from checkup received."
"주부. 저희 어머니는 주부세요.","housewife. My mother as for house wife is."
"직업. 직업을 선택할 때 무엇이 가장 중요해요?","job, occupation. Job deciding/choosing when what most important?"
"화가. 피카소는 세계적으로 유명한 화가예요.","artist, painter, picasso as for worldwide famous artist is."
