"교육","education"
"교실 용어","classroom term"
"네. 앤디 씨 숙제했어요? 네 했어요.","yes. Andy homework did? Yes did."
"다시. 다시 한 번 말씀해 주시겠어요?","again. Again one time say for me pls would you?"
"단어. 한국말을 잘하려면 단어를 많이 알아야 해요.","word. Korean well do if want to word many know have to."
"듣다. 잘 듣고 따라 하세요.","listen. Well listen and follow/copy do."
"들리다. 너무 시끄러워서 선생님 목소리가 잘 안 들려요.","to be heard, audible. Very noisy so teacher's voice well not heard."
"따라 하다. 선생님 말을 잘 듣고 따라 해 보세요.","to follow, to copy an action. Teacher's words well listen and follow try."
"뜻. 이 단어의 뜻을 잘 모르겠어요 설명해 주세요.","meaning. This word's meaning well don't know. Explanation give pls."
"맞다. 네 맞아요.","to be right, to be correct. Yes that's right."
"아니다. 저는 선생님이 아니에요. 학생이에요.","to not be. im not a teacher. Im a student."
"아니요. 아니요, 안 와요.","no. no im not coming."
"앉다. 여러분, 모두 자리에 앉으세요.","sit. Everyone, any seat in sit."
"알다. 요시코 씨, 이 단어의 의미를 알겠어요? 네, 알겠어요.","to understand, to know. Yoshiko this word's meaning know? Yes i know."
"여러분. 여러분, 안녕하세요?.","everyone. Everyone are you peaceful?"
"예. 예 선생님.","yes. Yes teacher."
"외우다. 한국어를 배울 때 단어 외우는 것이 제일 힘들어요.","to memorize. Korean learning during words memorizing most hard."
"이유. 한국어를 배우는 이유가 뭐예요?","reason. Korean learning reason what is?"
"이해. 한국에 처음 왔을 때에는 수업 시간에 하나도 이해 할 수 없었어요.","korea first came when as for class time one thing even understand unable to was."
"읽다. 책 25쪽을 읽어 보세요.","read. Book 25 page read try."
"자리. 여기 주구 자리예요? 폴 씨 자리예요.","seat, room. Whose seat is that. Paul's seat is."
"조용히. 지금 시험을 보고 있어요. 조용히 해 주세요.","Quietly. Now test writing. Quiety do pls."
"질문. 선생님, 질문 있어요. 네, 말씀하세요.","a question. Teacher i have question. Yes words do pls."
"펴다. 책 36 쪽을 펴세요.","open. Book 36 page open pls."
