"수업","lessons, class"
"가르치다. 저는 한국에서 아이들한테 영어를 가르치고 있어요.","to teach. I korea at kids to english teaching."
"가지다. 오늘 한국어 회화 책을 가지고 왔어요?","to bring, to have. Today korean conversation textbook bring and came?"
"강연회. 어제 한국과 일본 문화에 대한 강연회에 참석했어요.","lecture meeting. Yesterday korea and japan culture about lecture attended."
"결석. 올가 씨, 어제 왜 결석했어요?","absence. Olga yesterday why absent/not present?"
"궁금하다. 캉 씨가 시험을 안 봤네요. 그 이유가 궁금해요.","to be curious about. Kang as for test didn't see/write. That reason curious."
"끝. 복도 끝에 화장실이 있어요.","end. Hallway end washroom is."
"끝나다. 방학이 언제 끝나요?","To be over/ended. When will class be over/be finished/be ended?"
"저녁 6시에 약속이 있어서 숙제를 5시까지 끝내야 해요.","to finish / end something. Evening 6 o'clock appointment have so homework 5 by finish have to."
"노력하다. 어려운 발음도 자꾸 노력하면 잘하게 될 거예요.","to make an effort. Difficult pronunciation even repeatedly effort make if good at, come to be will."
"늦다. 수업 시간에 늦지 않으려고 택시를 탔어요.","to be late. Class time for late not be in order to/intending to taxi rode."
"대답하다. 선생님이 하는 질문에 대답해 보세요.","to answer, to respond. Try to answer the question that the teacher asked."
"떠들다. 수업 시간에 큰 소리로 떠들면 안 돼요.","to make a noise, clamor, speak. Class time loud noise with noise make if not allowed."
"마치다. 수업을 마치고 보통 친구들과 함께 점심을 먹어요.","to finish to complete. Class ends and usually friends with together lunch eat."
"말. 요시코 씨는 수업 시간에 말을 너무 많이 해서 시끄러워요.","talk, chat. Yoshiko as for class time during talking/word very many did so noisy."
"말씀. 선생님, 죄송하지만 다시 한 번 말씀해 주시겠어요?","talk, what is said (honorific). Teacher, sorry but again one time say please would you for me?"
"말하다. 이걸 한국말로 뭐라고 말해요?","to speak, to talk. What do you call this in korean?"
"모르다. 모르는 단어는 선생님께 물어보세요.","To know. As for words that you don't know, try asking the teacher."
"물어보다. 질문이 있으면 쉬는 시간에 물어보세요.","to ask, to inquire. Question have if resting time ask."
"바름. 리에 씨는 한국말 발음이 정확해요.","pronunciation. Leah as for korean word pronunciation accurate."
"발표. 지금부터 한국 역사에 대해서 발표하겠습니다.","presentation. Now from korean history about presentation will do."
"복습. 수업 시간에 배운 것을 집에서 날마다 복습해요.","review of lessons. Class time learned things home at day every review."
"빌리다. 사전 좀 빌려 주세요.","to lend, to borrow. Dictionary lend me for my sake."
"설명. 선생님이 새 단어의 뜻을 설명해 주셨습니다.","explanation. Teacher new word's meaning explain gave to me."
"수업. 학교 수업이 끝나면 보통 뭐 하세요?","Class, lesson. School classes end when/if usually what do?"
"숙제. 요즘 숙제가 너무 많아서 힘들어요.","homework, assignment. These days homework very many so hard."
"쓰다. 저는 매일 공책에 일기를 써요.","to write. I everyday notebook in diary/journal write."
"알아듣다. 안나 씨의 말은 너무 빨라서 알아듣기 힘들어요.","to understand what was said. Anna's words very fast so understanding what was said hard."
"연습. 저는 한국어 듣기 연습을 하기 위해 영화나 드라마를 많이 봐요.","practice. I korean listening practice do for the sake of movie or drama many watch."
"열심히. 안나 씨는 열심히 공부해서 시험을 잘 봤어요.","(study/work) hard. Anna as for hard study so test well did."
"예습. 내일 학교에서 배울 부분을 예습했어요.","preparations, preview of lessons. Tomorrow school at learn will part prepare/preview did."
"자세하다. 자세한 설명을 들으면 쉽게 이해할 수 있어요.","detailed, thorough. Detailed explanation listen if easily understand able to."
"적다. 여기에 이름과 주소를 적으세요.","to write, document, short. Here name and address write."
"제목. 지금 읽고 있는 소설책 제목이 뭐예요?","title. Now reading novel title what is?"
"졸다. 너무 피곤해서 수업 시간에 졸았어요.","to doze. Very tired so class time dozed."
"졸리다. 졸리는 사람은 화장실에 가서 세수하고 오세요.","to be sleepy. Sleepy people as for washroom go and then wash and come!"
"준비. 올가 씨는 오늘 발표 준비로 바빠요.","preparations. Olga as for today announcement/presentation preparations for busy."
"중. 수업 중에는 전화하면 안 돼요.","in the middle of. Class in the middle of call if not allowed."
"지각. 아침에 늦게 일어나서 수업에 지각했어요.","lateness, tardiness. Morning late got up so class tardiness did."
"찾다. 사전에서 모르는 단어를 찾아 봤어요.","to find. Dictionary in not knowing word find tried."
