"건강","health"
"병원 / 약국","hospital / pharmacy"
"감기. 어제 창문을 열고 잠을 자서 감기에 걸린 것 같아요.","cold. Yesterday window open and sleep slept so cold caught i think / seems like."
"건강. 돈보다 건강이 더 중요해요.","health. Money compared to health more important."
"건강보험증. 병원에 갈 때는 건강보험증을 꼭 가지고 가십시오.","health insurance card. Hospital go when health insurance card surely bring and go."
"끊다. 건강을 위해서 술과 담배를 끊으세요.","quit, give up a bad habit. Health for the sake of alcohol and smoking quit!."
"내과. 소화가 안 되거나 배가 아프면 내과로 가야 합니다.","the department of internal medicine. Digestion"
"넘어지다. 어제 계단에서 넘어져서 다리에 피가 났어요.","to fall. Yesterday stairs at/from fell so"
"Leg on blood came out.",""
"다치다. 교통 사고가 나서 많은 사람들이 다쳤습니다.","to get hurt. Traffic accident occurred many people got hurt."
"담배. 앤디 씨, 여기에서 담배를 피우면 안 돼요.","a cigarette. Andy here at cigarette smoke if not allowed."
"때문. 감기 때문에 기침을 자주 해요.","because (of) formal/fault. Cold because of cough often do."
"병. 요시코 씨가 병에 걸려서 입원했어요.","illness, disease. Yoshiko disease caught so hospitalized."
"붕대. 팔을 다쳐서 팔에 붕대를 감았어요.","sling, bandage. Arm hurt so arm sling wrap."
"상처. 아이가 넘어져서 얼굴에 상처가 났습니다.","wound. Child fell so face wound emerged."
"소아과. 아기가 아프면 어디로 가야 해요? 소아과로 가면 돼요.","pediatrics. Child sick if where to go have to? Pediatrics to go may."
"안과. 눈을 다쳤어요. 안과에 가 봐야겠어요.","the department of ophthalmology. Eyes hurt/injured. Department of ophthalmology go and see how it goes/try must/need to."
"안약. 눈이 아프면 안약을 넣으세요.","eyedrops, eye wash. Eyes hurting if eye drops put in."
"약. 머리가 아픈데 약 좀 있어요?","head hurts and medicine have?"
"약국. 저는 어제 약국에서 감기약을 샀습니다.","a pharmacy. I yesterday pharmacy at/from cold medicine bought."
"약사. 약사가 되려면, 약사 면허증이 있어야 해요.","pharmacist. Pharmacist become if want to pharmacist license have have to."
"엑스레이. 팔을 다쳐서 엑스레이를 찍었어요.","x-ray. Arm hurt and then/so xray(photo) took."
"연고. 상처가 난 곳에 이 연고를 발라 보세요.","ointment. Wound emerged place on this ointment apply try."
"입원. 제 동생이 다리를 다쳐서 일주일 동안 병원에 입원했어요.","hospitalization, admission into hospital. My younger sibling leg hurt so 1 week duration hospital in hospitalized."
"정형외과. 뼈가 부러지면 정형외과로 가야지요?","orthopedics. bone break if orthopedics to go should right?"
"눈이 와서 길이 미끄러우니까 조심해서 가십시오.","carefulness. Snow fall so road slippery cuz careful be and go."
"주사. 감기 때문에 병원에 가서 주사를 맞았어요.","a shot, injection. Cold because of hospital went and then shot injected."
"진찰. 진찰을 받으려면 몇 층으로 가야 해요?","a medical examination. Medical examination receive want to if which floor towards go have to."
"처방. 병원에서 처방해 준 약을 먹어야 합니다.","prescription. Hospital at/from prescribed medicine eat have to."
"치과. 이가 아파서 치과에 다녀왔습니다.","dentist. Teeth hurt so dentist to went and came back."
"치료. 상처가 심하니까 병훤에 가서 치료를 받으세요.","medical treatment. Wound sever because hospital to go and treatment receive pls."
"파스. 허리가 아플 때는 파스를 붙여 보세요.","pain relieving patch for muscle ache. Waist/back hurt when as for patch stick/apply try."
"피우다. 담배 피우세요?","to smoke. Do you smoke?"
"환자. 의사 선생님이 지금 환자를 치료하고 계십니다.","patient. Doctor teacher now patient treating is (horrifically)."
"건강","health"
"병원 / 약국","hospital / pharmacy"
"감기. 어제 창문을 열고 잠을 자서 감기에 걸린 것 같아요.","cold. Yesterday window open and sleep slept so cold caught i think / seems like."
"건강. 돈보다 건강이 더 중요해요.","health. Money compared to health more important."
"건강보험증. 병원에 갈 때는 건강보험증을 꼭 가지고 가십시오.","health insurance card. Hospital go when health insurance card surely bring and go."
"끊다. 건강을 위해서 술과 담배를 끊으세요.","quit, give up a bad habit. Health for the sake of alcohol and smoking quit!."
"내과. 소화가 안 되거나 배가 아프면 내과로 가야 합니다.","the department of internal medicine. Digestion"
"넘어지다. 어제 계단에서 넘어져서 다리에 피가 났어요.","to fall. Yesterday stairs at/from fell so leg on blood came out."
"다치다. 교통 사고가 나서 많은 사람들이 다쳤습니다.","to get hurt. Traffic accident occurred many people got hurt."
"담배. 앤디 씨, 여기에서 담배를 피우면 안 돼요.","a cigarette. Andy here at cigarette smoke if not allowed."
"때문. 감기 때문에 기침을 자주 해요.","because (of) formal/fault. Cold because of cough often do."
"병. 요시코 씨가 병에 걸려서 입원했어요.","illness, disease. Yoshiko disease caught so hospitalized."
"붕대. 팔을 다쳐서 팔에 붕대를 감았어요.","sling, bandage. Arm hurt so arm sling wrap."
"상처. 아이가 넘어져서 얼굴에 상처가 났습니다.","wound. Child fell so face wound emerged."
"소아과. 아기가 아프면 어디로 가야 해요? 소아과로 가면 돼요.","pediatrics. Child sick if where to go have to? Pediatrics to go may."
"안과. 눈을 다쳤어요. 안과에 가 봐야겠어요.","the department of ophthalmology. Eyes hurt/injured. Department of ophthalmology go and see how it goes/try must/need to."
"안약. 눈이 아프면 안약을 넣으세요.","eyedrops, eye wash. Eyes hurting if eye drops put in."
"약. 머리가 아픈데 약 좀 있어요?","head hurts and medicine have?"
"약국. 저는 어제 약국에서 감기약을 샀습니다.","a pharmacy. I yesterday pharmacy at/from cold medicine bought."
"약사. 약사가 되려면, 약사 면허증이 있어야 해요.","pharmacist. Pharmacist become if want to pharmacist license have have to."
"엑스레이. 팔을 다쳐서 엑스레이를 찍었어요.","x-ray. Arm hurt and then/so xray(photo) took."
