"식생활","eating habits"
"간식","light meals"
"간식. 오후 4시쯤 배가 조금 고파서 간식을 먹었어요.","light meal, snack. Afternoon 4 o'clock around stomach little hungry so light meal ate."
"과자. 아이들만 과자를 좋아하는 것은 아니에요.","snack, treat. It's not only kids that like snacks."
"껌. 수업 시간에는 껌을 씹으면 안 됩니다.","chewing gum. Class time in as for, gum chew if not allowed."
"떡. 한국에서는 명절이나 잔칫날에 떡을 먹어요.","Korean rice cake. Korea in as for, special times(trad holiday) or feast days (occasions) rice cake eat."
"만두. 여기요, 고기만두 1인분만 주세요.","dumpling. Over here, meat dumpling 1 person portion only give pls."
"빵. 저는 아침에 보통 빵을 먹어요.","bread. I morning usually bread eat."
"사탕. 사탕을 너무 많이 먹으면 이가 나빠질 거예요.","candy. Candy too many eat if teeth bad turn/become will."
"식빵. 내일 점심 때 먹으려고 식빵으로 샌드위치를 만들었어요.","loaf (slice) of bread. Tomorrow lunch during eat intending to, slice of bread using sandwich made."
"아스크림. 아이스크림을 냉장고에 안 넣어서 다 녹아 버렸어요.","ice cream. Ice cream refrigerator in didn't put so all melted completely."
"초콜릿. 한국에서는 밸런타인데이에 초콜릿을 많이 선물 해요.","Chocolate. In korean valentines on chocolate many gift do."
"케이크. 친구 생일 파티를 하기 위해서 케이크를 샀어요.","cake. Friend birthday part doing for the sake of cake bought."
"햄버거. 네, 저기 사거리를 지나면 큰 햄버거 가게가 하나 있어요.","Hamburger. Yes that intersection cross if big hamburger store/shop one exists."
