"과일 / 채소","fruits / vegetables"
"귤. 한국에서 귤이 제일 많이 나는 곳은 제주도예요.","Tangerine. Korea in tangerine most growing place jeju is."
"딸기. 딸기는 봄에 먹는 것이 제일 맛있어요.","Strawberry. Strawberry as for spring eating most tasty."
"바나나. 아주머니, 이 바나나 얼마예요?","banana. Old lady this banana how much?"
"밤. 한국에서는 겨울에 길거리에서 군밤을 파는 사람들이 많아요.","chestnut. In korean in winter street on roasted chestnuts selling people a lot."
"배. 불고기를 만들 때 배를 넣으면 맛이 더 좋아요.","pear. Bulgogi making when pear put in if taste more good/preferrable."
"복숭아. 저는 복숭아 알레르기가 있어서 복숭아를 먹을 수 없어요.","peach. I peach allergy have so peach eat unable to."
"사과. 사과는 종류마다 맛과 모양이 달라요.","apple. Apples as for every type taste and appearance/shape different."
"수박. 여름에 수박을 먹으면 정말 시원해요.","watermelon. Summer in watermelon eat if really refreshing."
"싱싱하다. 과일을 고를 때에는 싱싱한 것을 골라야 합니다.","to be fresh. Fruits choose when fresh ones choose should/have to."
"야채. 고기보다 야채를 많이 먹는 것이 건강에 좋아요","vegetables. Meat compared to vegetables a lot eating health for good."
"오렌지. 오늘 아침에 오렌지 주스 한 잔하고 식빵을 먹었어요.","orange. Today morning orange juice 1 glass and slice of bread ate."
"오이. 오이로 만든 김치도 정말 맛있어요.","cucumber. Cucumber using/with made kimchi also very tasty."
"옥수수. 한국의 강원도는 옥수수로 유명해요.","corn. Korea's gangwon as for corn for famous"
"참외. 참외는 여름에 많이 먹는 과일이에요.","melon. Melon summer a lot eating fruit is."
"채소. 한국 음식 중에는 채소로 만드는 것이 많아요.","vegetables. Korea food among vegetables with made things a lot."
"토마토. 한국에서는 왜 토마토를 과일 가게에서 팔아요?","tomato. Korea why tomato fruit store at sell?"
"파인애플. 한국에서는 파인애플을 대부분 외국에서 수입해요.","pineapple. Korea pineapple majority foreign country from import."
"포도. 포도는 주스나 술로 만들어(서) 먹기도 해요.","grapes. Making grapes into wine or alcohol is one of the ways/additional/occasional way to consume."
