"재료","ingredients"
"간장. 잡채를 만들 때 간장을 많이 넣으면 짜요","soy sauce. Japchae making when soy sauce a lot put in if salty."
"감자. 감자를 갈아서 감자전을 만들었어요.","potato. Potato grate and then potato pancake made."
"계란. 아침에 보통 계란 프라이와 토스트를 먹어요.","egg. Morning usually egg fry and toast eat."
"고기. 고기보다 채소를 많이 먹어야 건강에 좋아요.","meat. Meat compared to vegetables more eat only if /is necessary health good."
"고추. 저는 고추처럼 매운 것은 잘 못 먹어요.","red pepper. I red pepper like spicy things well can't eat."
"꿀. 감기 기운이 있을 때에는 꿀을 물에 타서 드셔보세요.","honey. Cold feeling/symptom have when honey water in mix and then eat try."
"닭. 춘천은 닭갈비로 유명해요.","chicken. Chuncheon chick stir fry vegetables for famous."
"당근. 우리 엄마는 아침마다 당근 주스를 만들어 주세요.","carrot. Our mother morning every carrot juice made and gives."
"돼지. 한국 사람 중에는 돼지 고기를 좋아하는 사람이 많아요.","pig. Korea people between pig meat liking people a lot."
"마늘. 한국 음식에는 대부분 마늘이 들어가요.","garlic. Korean food as for mostly garlic contains/goes in/included."
"미역. 한국에서는 아기를 낳았을 때나 생일에 미역국을 먹어요.","korea baby birth when or birthday on brown seaweed eat."
"배추. 한국 사람들이 제일 많이 먹는 김치는 배추 김치예요.","korean cabbage. Korean people most a lot eating kimchi as for cabbage kimchi is."
"설탕. 저는 보통 커피에 설탕을 두 숟가락 넣어서 마셔요.","sugar.i usually coffee sugar 2 spoon put in and then drink."
"소고기. 요즘 소고기 값이 내렸어요.","beef. These days beef prices went down."
"소금. 국에 소금을 너무 많이 넣어서 짜요.","salt. Soup in salt too much put in so salty."
"쌀. 우리 아이는 쌀로 만든 과자를 좋아해요","rice. Our kid rice with made candy likes."
"양파. 저는 양파를 좋아해서 스파게티를 만들 때 많이 넣어요.","onion. I onion like so spaghetti making when a lot put in."
"오징어. 서양 사람들은 보통 구운 오징어 냄새를 싫어해요.","squit. Western people usually grilled squid smell hate."
"재료. 같은 재료로 요리를 해도 만드는 사람에 따라 맛이 달라요.","ingredients. Same ingredients with cook do even if, making person different taste different."
"파. 찌개나 국을 끓일 때 파를 제일 마지막에 넣으세요.","green onion. Stew or soup boil when green onion most last put in."
"후추. 스프에 후추를 뿌려서 먹었어요.","pepper. Soup in pepper sprinkled and then ate."
