"인간관계","human relationships"
"고맙다. 그동안 도와준 친구들이 정말 고마웠습니다.","to be thankful. That time help gave friends really thankful was."
"괜찮다. 오늘 저녁에 시간 괜찮아요?","to be good, okay. Today evening time ok?"
"글쎄. 글쎄요, 잘 모르겠는데요.","well, i'm not sure. I'm not sure i don't know really well."
"다행. 심하게 다치지 않아서 정말 다행입니다.","luck, good fortune. Severely hurt not so really good fortune is."
"덕분. 제가 졸업한 것은 모두 선생님 덕분입니다.","thanks to. I graduating as for teacher thanks to."
"똑똑하다. 리에 씨는 아주 똑똑한 사람이라서 공부를 잘합니다.","to be smart, to be clever. Leah as for very snake person is so study well."
"미안하다. 친구에게 거짓말 한 것이 너무 미안했습니다.","to be sorry, to be regrettable. Friend to lie doing very regrettable."
"믿다. 저는 부모님께서 하시는 말씀은 모두 믿습니다.","believe, trust. i parents doing words all believe."
"반갑다. 오랜만에 다시 만나서 정말 반가웠습니다.","to be glad. To be glad. In a long time again met so really glad."
"반말. 처음 만나는 사람에게 반말을 하면 안 됩니다.","casual speech. First time meeting person to casual speech do if not allowed."
"별일. 별일 없으면 저 좀 도와주시겠어요?","an unusual event. Big deal not if me pls help give pls?"
"뵙다. 선생님을 뵙고 드릴 말씀이 있습니다.","to meet (honorific form). Teacher meet and something to say have."
"비밀. 이건 비밀이나까 다른 사람에게 말하지 마세요.","secret. This thing secret is cuz other people to say don't."
"사과. 친구에게 거짓말을 해서 미안하다고 사과했습니다.","apology. Friend to lie did so ""i regret"" apologized."
"사귀다. 안나 씨는 한국 친구를 많이 사귀었습니다.","to make friends. Anna as for korean friends many made."
"성함. 실례지만, 성함이 어떻게 되세요?","name (honorific). Excuse men, name how becomes?"
"소개. 여러분에게 피터 씨를 소개하겠습니다.","introduction. I will introduce peter to everyone."
"싸우다. 어제 집 앞에서 아이들이 싸우고 있었습니다.","to fight. Yesterday house in front of kids fighting were."
"알아보다. 고향에 가려고 비행기 표를 알아봤습니다.","to inquire about, to look into. Home town go intending to plane ticket inquired."
"웬일. 웬일이세요? 학교에 일찍 왔네요.","for what matter. For what matter is? School to early came surprisingly."
"이름. 이름이 뭐예요?","name. Name what is?"
"이야기. 요시코 씨는 이야기하는 것을 좋아합니다.","conversation. Yoshiko talking likes."
"인사. 여러분, 인사하세요. 새로 오신 선생님이십니다.","greeting. Everybody greet do. Newly coming teacher is."
"잃다. 시내가 너무 복잡해서 길을 잃었어요.","to lose. Downtown very crowded so the way lost."
"지기. 피터 씨는 자기 일을 항상 열심히 합니다.","oneself. Peter oneself work always hard does."
"죄송하다. 늦어서 죄송합니다","to be sorry for. Late cuz sorry."
"지키다. 다른 사람과 약속한 것은 꼭 지켜야 합니다.","to keep. Other people with promising as for for sure keep have to."
"쳐다보다. 친구가 내 이름을 불러서 쳐다봤어요.","to stare, to look at. Friend my name called and then stared."
"파티. 이번 주말에 생일 파티를 하고 싶어요.","part. This weekend birthday part do want to."
"특별하다. 그 사람 목소리는 좀 특별해서 금방 알 수 있어요.","to be unique, to be special. That person voice little unique so right way recognize/know able to."
"혹시. 혹시 우리 전에 만난 적이 있나요?","perhaps, by chance. Perhaps us before, met experience have?"
