"직장 생활","office life."
"과장. 저하고 같이 일하는 분은 김 과장님입니다.","the head of a department. Me with together working person kim manager is."
"구하다. 대학을 졸업하고 직장을 구하고 있습니다.","to look for, to seek. University graduate and work seeking."
"그만. 자, 오늘은 일을 그만 하고 집에 갑시다.","to that extent only, enough, no more. Alright today work stop and home go let's."
"근무. 어느 회사에서 근무하세요?","work. Which company work?"
"남다. 친구를 만날 시간 좀 남아서 더 있다가 퇴근하려고 해요.","to remain. Friend meet time bit remains so bit later get off plan to."
"다니다. 저는 학교에 다니고 오빠는 회사에 다녀요.","to go, to attend. I school go and brother company to attends."
"대신. 과장님 대신에 제가 출장을 가기로 했어요.","instead of. Manager instead of i business trip go promised/decided."
"대화. 저는 빨리 한국말로 대화하고 싶어요.","conversation, dialogue. I quickly korean with converse want to."
"동료. 오늘 회사 동료들과 영화를 보러 갈 거예요.","coworkers, colleague. Today company coworkers with movie see to go will."
"드리다. 월급을 받으면 부모님께 생활비를 좀 드리고 싶어요.","to give (honorific form). Salary receive if parents to living expenses give want to."
"메모. 오늘 회의 내용을 수첩에 메모 했어요.","memo. Today meeting contents pocket notebook in memo did."
"면접. 오늘은 회사 사장님과 면접을 보는 날입니다.","an interview. Today company president with interview seeing day is."
"무리. 매일 아침 7시까지 출근하는 것이 저에게는 무리입니다.","unreasonableness, impossibility. Everyday morning 7 by going to work for me impossibility is."
"바쁘다. 지금은 조금 바쁘니까 이따가 통화합시다.","to be busy. Now little busy cuz little later converse lets."
"방문. 우리 회사에 중요한 손님이 방문하기로 했습니다.","visit. Our company important customer visiting promised/decided."
"방해. 지금 앤디 씨는 회의중이나까 방해하지 마세요.","interruption. Now andy as for meeting middle of cuz interrupt don't."
"번역. 이 책은 일본어로 번역이 되어 있습니다.","translation. This book japanese with translation is done."
"복사. 이 서류를 세 장만 복사해 주세요.","copy. This document 3 paper copy do pls."
"부탁. 피터 씨가 이 서류를 팩스로 보내달라고 부탁했습니다.","request, favor. Peter these documents fax with send request to him."
"붙이다. 편지 봉투에 우표를 붙여서 보내 주세요.","to paste. Letter envelope stamp attack and send pls."
"사무실. 제가 일하는 사무실은 종로에 있습니다.","office. I working office jongo in is."
"사장. 지금 사장님께서는 자리에 안 계습니다.","president of a company. Right now president seat in not existing."
"서류. 내일 회의에 필요한 서류를 준비해 주세요.","documents. Tomorrow meeting important documents prepare pls."
"수고. 오늘 일이 다끝났습니다. 수고 하셨습니다.","efforts. Today work all finished. Effort did."
"스트레스. 요즘 회사 일 때문에 스트레스를 많이 받고 있습니다.","stress. These days company work because stress a lot receiving."
"승진하다. 김 과장님, 부장으로 승진하신 것을 축하합니다.","to be promoted. Kim manager, section chief to promoting congrats."
"시작. 우리 회사는 아침 9시에 일을 시작합니다.","the start, the beginning. Our company as for morning 9 o'clock work starts."
"실례. 실례지만, 사장님 방은 어디에 있습니다.","excuse, impoliteness. Excuse me president roof where is."
"실수. 이번 일은 왕핑 씨가 실수를 한 것 같습니다.","mistake. This time work as for wangping mistake did i think."
"아르바이트. 대학생들은 방학 때 아르바이트를 많이 합니다.","a part-time job. University students school holidays when part time job many do."
"에의. 한국 사람들은 예의를 중요하게 생각합니다.","korean people as for etiquette importantly think."
"의논. 그 일은 사장님과 의논하세요.","consultation, counsel. That work as for president with consult."
"익숙하다. 지금은 회사 생활에 익숙해져서 괜찮아요.","to be familiar. Now company life familiar became because it's ok."
"일. 지금 회사에서 무슨 일을 합니까?","work. Now company at what work do?"
"자동판매기. 회사에서는 자동판매기 커피를 많이 마십니다.","vending machine. Company at vending machine coffee a lot drink."
"조건. 어떤 조건의 회사를 찾고 있어요.","condition. What kind of condition/requirements of company looking for?"
"직원. 우리 회사에서 일하는 직원은 500명쯤 됩니다.","employee. Our company at working employee 500 people around do."
"직장. 올가 씨, 오빠가 일하는 직장은 어디입니까?","work place. Olga, brother working work place where is?"
"출근. 출근 시간에는 교통이 아주 복잡합니다.","going to work, attendance at office. Going to work time during as for traffic very crowded."
"출장. 다음 주에 미국으로 출장을 갑니다.","business trip. Next week america to business trip go."
"큰일. 회의에 늦으면 큰일이니까 빨리 준비하세요.","huge problem, big trouble, serious matter. Meeting late if big trouble is cuz quickly prepare."
"통역. 앤디 씨, 영어로 통역 좀 해 주세요.","interpretation. Andy english with interpretation do pls."
"퇴근. 일이 많아서 밤 9시까지 퇴근을 할 수 없습니다.","leaving work, getting off work. Work a lot so night 9 o'clock until leaving work unable to."
"한가하다. 오늘 오후에는 일이 없어서 조금 한가했습니다","to be free, not to be busy. Today after noon work not have bit free was."
"한턱. 김 과장님이 승진하셔서 한턱을 내셨습니다.","a treat, meal/entertainment on someone. Kim manager promoted so treat paid./gave/treated."
"회식. 우리 회사는 보통 한 달에 한 번 회식을 해요.","eating out together. Our company usually 1 month one time eating out does."
"회의. 우리 회사에서는 아침마다 회의를 하고 일을 시작 합니다.","meeting. Our company morning every meeting does and work starts."
"휴가. 이번 여름 휴가 때는 집에서 쉴 거예요.","vacation. This summer vacation when house at rest will."
