"운동","exercise"
"경기. 저는 축구를 좋아해서 자주 경기를 보러 갑니다.","match, game. I soccer like so often match see in order to go."
"골프. 저희 아버지는 주말마다 골프를 치십시다.","golf. Our father as for weekend every golf plays."
"공. 축구, 농구, 배구는 모두 공을 가지고 하는 운동입니다.","ball. Soccer, basketball, volleyball as for all ball bring and do sports are."
"농구. 남학생들은 농구를 하면서 스트레스를 풉니다.","basketball. Guy students basketball do while stress relieve."
"달리다. 세계에서 가장 빨리 달리는 선수는 누구예요?","to run. World in most fast running athlete who is?"
"대회. 저는 지난달에 마라톤 대회에서 1등을 했습니다.","competition, tournament. I last month marathon competition in first rank did."
"등산. 올가 씨는 등산을 좋아해서 자주 산에 가요.","hiking, mountain climbing. Olga as for hiking like so often mountain to go."
"뛰다. 약속 시간에 늦어서 택시에서 내려서 뛰었습니다.","run. Appointment time for late so taxi from got off and ran."
"마라톤. 마라톤은 42.195km를 달려야 해요.","marathon. Marathon as for 42.195km run have to."
"모든. 왕위 씨는 모든 운동을 다 잘합니다.","all, every. Wang wi as for all exercises/sports all well does."
"배구. 저는 키가 더 크면 배구 선수가 되고 싶습니다.","volleyball. I height more tall if volleyball athlete become want to."
"배드민턴. 배드민턴은 두 사람이 할 수 있는 경기입니다.","badminton. Badminton as for two people do able to game is"
"산책. 가까운 공원으로 산책을 나갈까요?","walk. Close place to walk go out shall we?"
"선수. 저는 운동 선수들을 좋아합니다.","athlete. I sport athletes like."
"수영. 물에서 하는 운동은 수영만 있어요?","swimming. Water in doing sport swimming only is?"
"수영복. 수영할 때는 꼭 수영복을 입으세요.","swimsuit. Swimming during for sure swimsuit wear."
"수영장. 수영장물이 깨끗하면 좋겠습니다.","swimming pool. Swimming pool water clean if good."
"스케이트. 요즘에는 여름에도 스케이트를 탈 수 있습니다.","skate. These days in as for summer in also skate ride able to."
"스키. 겨울 운동으로는 스키가 가장 좋은 것 같아요.","ski. Winter sports for ski most like think/seems."
"스포츠. 한국에서 가장 인기 있는 스포츠는 뭐예요?","sports. Korea in most popularity having sport what is."
"싫다. 추운 겨울에는 밖에 나가기가 싫어요.","to be unpleasant, to dislike. Cold winter in as for going out dislike."
"싫어하다. 저는 밖에서 운동하는 것을 싫어해요.","hate. I outside at exercising hate."
"아무. 저는 아무 때나 할 수 있는 운동이 좋습니다.","any. I any time do able to sport like."
"야구. 미국 사람들은 야구를 아주 좋아합니다.","baseball. American people baseball very like."
"올림픽. 올림픽은 전 세계 사람들이 좋아하는 스포츠 대회입니다.","olympics. Olympics as for all word people liked sport competition is."
"운동. 우리 가족은 아침마다 운동을 합니다.","exercise. Our family morning every exercise does."
"응원. 어느 팀을 응원하고 싶어요?","support. Which team support want to?"
"이기다. 내가 응원하는 팀이 이기면 정말 기분이 좋습니다.","to win. My supporting team win if very mood good."
"입장. 지금 경기장으로 입장하여 주십시오.","entrance. Now stadium to enter pls."
"조깅. 아침마다 건강을 위해서 조깅을 하고 있습니다.","jogging. Morning every health for sake of jogging doing."
"좋다. 많이 걷는 것이 건강에 좋습니다.","to be good. A lot walking health to good."
"좋아하다. 등산을 좋아하세요?","to like. Hiking like?"
"침가. 이번 올림픽 대회에 참가하는 선수들이 몇 명이에요?","participation. This olympic competition in participating athletes how many people are?"
"축구. 요즘 한국에서는 축구가 인기가 많습니다.","soccer. These days korea in as for soccer popularity a lot."
"치다. 이번 주말에 테니스를 치러 갈까요?","to play, to hit. This weekend tennis play in order to go shall we?"
"탁구. 탁구는 중국 사람들에게 인기가 있는 운동입니다.","table tennis. Table tennis as for chinese people for popularity having sport is."
"테니스. 저는 배드민턴보다 테니스를 더 좋아해요.","tennis. I badminton compared to tennis more like."
"팀. 좋아하는 야구팀이 있어요?","team. do you have a baseball team that you like?"
"훨씬. 상대 팀은 생각보다 훨씬 강했어요.","by far, much. Facing team as for though compared to much strong were."
