"날씨","weather"
"계절","seasons"
"가을. 한국의 가을은 9월부터 11월까지 입니다.","fall. Korea's fall as for september from november til is."
"겨울. 겨울이 되면 스키 타는 것을 즐깁니다.","winter. Winter becomes when ski riding enjoy."
"계절. 저는 계절이 바뀔 때마다 자누 감기에 걸립니다.","season. I season change during every frequently cold catch."
"무슨. 무슨 계절을 좋아하세요.","what. What seasons like?"
"봄. 봄에는 꽃이 많이 핍니다.","spring. Spring flower a lot bloom."
"사계절. 한국에는 사계절이 있습니다.","four seasons. Korea in as for four seasons have."
"여름. 여름이 되면 바닷가에서 휴가를 보내고 싶어요.","summer. Summer become if beach at vacation send want to."
"연휴. 젊은 사람들은 설이나 추석 연휴에 여행을 많이 갑니다.","consecutive holidays. Young people new year or thanksgiving holidays trip a lot go."
"철. 7월초부터 장마철이 시작되겠습니다.","time of the year, a season. July beginning from rainy season begin will."
"크리스마스. 크리스마스는 아이들이 좋아하는 날입니다.","Christmas. Christmas as for children liking day is."
