"시간","time"
"가끔. 왕위 씨는 가끔 운동을 합니다.","wang wi sometimes exercise does."
"계속. 저는 한국에서 계속 살고 싶어요.","continuously. I korean in continuously live want to."
"곧. 조금만 더 기다리면 선생님께서 곧 오실 거예요.","soon. Little only more wait if teacher soon come will."
"과거. 과거의 실수는 생각하지 마세요.","the past. Past's mistake as for think don't."
"그동안. 그동안 안녕하셨어요?","during that time. During that time, healthy were?"
"금방 하늘이 어두워요. 하늘이 어두워요. 금방 비가 올 것 같아요.","soon, just a minute ago. Sky dark/gloomy. Soon rain come will think."
"기간. 시험 기간에는 더 열심히 공부해야 합니다.","period of time, term. Test period during as for more hard study have to."
"나중. 지금은 바쁘니까 나중에 만납시다.","later. now as for busy cuz later meet let's."
"낮. 요즘 아침, 저녁에는 조금 쌀쌀하고 낮에는 더워요.","daytime. these days morning, evening as for little chilly and daytime as for hot."
"동안. 저는 방학 동안에 한국어를 열심히 공부할 거예요.","during, for. I school break during korean hard study will."
"드디어. 드디어 유럽으로 여행을 가게 되었어요.","at last, finally. Finally europe to trip go ended up."
"때. 아무 때나 전화하고 오세요.","time. Any time call and come."
"때때로. 때때로 고향에 계시는 부모님이 보고 싶습니다.","now and then, sometimes. Now and then hometown in living parents miss."
"마지막. 12월 31일음 일년의 마지막 날이에요.","the last. Dec 31st year's last day is."
"마침. 배가 고팠는데 친구가 마침 빵을 사 가지고 왔습니다.","fortunately, opportunely. Stomach full but friend opportunely bread bought and came."
"먼저. 도착하면 제일 먼저 전화해 주세요.","the first. Arrive when most first call me pls."
"미래. 저는 미래에 통역사가 되고 싶습니다.","future. I future for interpreter become want to."
"미리. 내일 숙제를 오늘 미리 했습니다.","beforehand, in advance. Tomorrow homework, today in advance did."
"바로. 학교 수업이 끝나면 바로 집으로 오세요.","directly, right now. School classes end hypothetically if straight home toward come."
"밝다. 밤 8시인데 아직도 밖이 밝네요.","to be bright. Night 8 o'clock is but still outside bright surprisingly."
"밤. 밤에 늦게까지 일을 해서 좀 피곤합니다.","night. Night during late til work do so little tired."
"방금. 와위 씨는 방금 떠났어요.","just, now just before. Wang wi as for just now departed."
"벌써. 밥을 벌써 다 먹었어요? 저는 이제 먹으려고 하는데요.","already. meal already all ate? I still eat intending to but."
"분. 오늘 오후 3시 30분에 만납시다.","minute. Today afternoon 330 meet let's."
"빨리. 일을 빨리 끝내고 영화 보러 갑시다.","Quickly. Work quickly finish and movie see in order go let's."
"시. 지금 몇 시예요?","time, o'clock. Now which time is?"
"식후. 이 약은 식후 30분마다 드시기 바랍니다.","after a meal. This medicine after a meal 30 minutes every taking hope."
"아까. 아까 올가 씨에게 전화가 왔습니다.","a short time ago. A short time ago olga to call came."
"아직. 요시코 씨는 아직 자고 있어요?","still, (not) yet. Yoshiko as for still sleeping?"
"아침. 내일 아침에 일찍 일어나야 돼요.","morning, breakfast. Tomorrow morning early get up have to."
"아침. 오늘 아침 먹었어요?","breakfast. Today breakfast ate?"
"어둡다. 낮 시간인데 하늘에 구름이 많아서 날이 어두워요.","to be dark. Day time is but sky in cloud a lot so weather condition dark."
"어젯밤. 어젯밤에 누구를 만났어요?","last night. Last night who meet?"
"언제나. 앤디 씨는 언제나 학교에 일찍 옵니다.","always. Any always school early comes."
"얼른. 곧 출발해야 하니까 얼른 오세요.","quickly, right away. Soon leave have to cuz quickly come."
"옛날. 서울의 옛날 모습은 지금하고 많이 달라요.","long ago. Seoul's long ago appearance as for, now with very different."
"오래. 오래간만입니다. 잘 지내셨어요?","a long time. Long time is. Well living?"
"오전. 피터 씨는 토요일 오전에 수영을 배웁니다.","morning, A.m. peter as for saturday morning swim learns."
"오후. 오전에는 바쁘니까 오후 4시쯤 만날까요?","afternoon, p.m. afternoon busy cuz 4 around meet shall we?"
"요즘. 요즘 어떻게 지내십니까?","these days. These days how living?"
"이따가. 이따가 오후에 만나서 얘기합시다.","a little later, in short time. A little later afternoon in meet and talk let's."
"어번. 이번 주 토요일에 고향에 갈 거예요.","this time. This time week saturday on hometown to go will."
"이제. 이제부터 열심히 공부할 거예요.","now. Now from hard study will."
"일찍. 내일은 일찍 일어나서 학교에 올 거예요.","early. Tomorrow early get up and then school go will."
"자주. 피터 씨는 감기에 자주 걸리는 것 같아요.","often. Peter as for cold often catches it seems."
"잠깐. 잠깐만요, 곧 전화를 바꿔 드리겠습니다.","just a minute. Just a minute, soon call change give will."
"잠깐. 아까 잠깐 비가 왔어요.","just a minute. Earlier just a minute rain came."
"잠시. 잠시 쉬고 다시 합시다.","For a while. For a while rest and again do let's."
"잠시. 잠시 실례하겠습니다.","for a while. For a while excuse will."
"저녁. 퇴근하고 저녁에는 무엇을 하세요?","evening. Work end and evening in during what do?"
"저번. 저번에 만난 사람을 오늘 다시 만났습니다.","the last time. The last time met person today again met."
"전. 지금 세 시 10분 전입니다.","now four hour 10 minute before is."
"저는 다섯 달 전에 한국에 왔습니다.","before. 5 month ago korea came"
"점심. 오늘 점심에는 비빔밥을 먹었습니다.","lunch. Today lunch for as for, bibimpap ate."
"점점. 날씨가 점점 추워지고 있습니다.","Gradually. Weather gradually colder turning."
"지금. 지금부터 한 시간 동안 쉬겠습니다.","now. Now from 1 hour duration rest will."
"지금. 리에 씨는 지금 공부를 하고 있습니다.","now. Leah as for now study doing."
"지나다. 한국어를 공부한 지 6개월이 지났습니다.","to pass by. Korean study since 6 months passed."
"지나다. 약국 앞을 지나면 바로 우리 집입니다.","to pass by. Pharmacy front pass if, straight our house is."
"처음. 처음 뵙겠습니다. 잘 부탁합니다.","the first time, the beginning. First meet. Well favor."
"한참. 친구를 한참 동안 기다렸습니다.","for a long time. Friend for a long time duration waited."
"항상. 올가 씨는 항상 바쁩니다.","always. Olga as for always busy."
"현재. 현재 한국어를 공부하고 있습니다.","the present. Present korean studying."
"후. 며칠 후에 시험을 보겠어요.","after. Some days after test try will."
"후. 대학교를 졸업한 후에 바로 취직했어요.","after. University graduated after immediately job finding did."
