"의류","clothing"
"구멍. 양말에 구멍이 나서 창피했어요.","hole. Socks in hole appeared cuz embarrassed."
"두껍다. 날씨가 추우니까 두꺼운 옷을 입으세요.","to be thick, bulky. Weather cold cuz warm clothes wear pls."
"디자인. 같은 값이면 디자인이 더 예쁘고 멋있는 것을 고를 거예요.","design. Same price if design more pretty and cool thing choose will."
"마음. 어느구두가 더 마음에 드세요?","mind. Which shoes more heart gives?"
"멋. 그영화에 나오는 배우 중에서 누가 제일 멋있어요?","stylishness, charming. That movie appearing actor between who most stylish?"
"무늬. 저, 혹시 아까 줄무늬 셔츠를 입은 사람 못 보셨어요?","pattern. Excuse me, earlier striped shirt wore person did not see?"
"바지. 저, 까만색 바지를 하나 사려고 하는데요.","pants. Black pants one buy plan to."
"반. 치마 길이를 반으로 줄여 주세요.","half. Skirt length half by short pls for me."
"반팔. 산 속에서는 반팔 티셔츠만 입으면 추울 거예요. 긴팔티셔츠 도 하나 준비하세요.","short sleeves. Mountains in short sleeve t-shirt wear if cold will be. Long-sleeved t-shirt also one prepare."
"블라우스. 이 정장에는 밝은 색 블라우스가 잘 어울려요.","blouse. This formal wear red color blouse goes well with."
"새. 면접 볼 때 입으려고 새 옷을 샀어요.","new. Interview try during wear, for new clothes bought."
"새로. 새로 산 구두가 조금 작아서 발이 불편해요.","newly. Newly mountain shoes little small so feet uncomfy."
"셔츠. 이 까만색 바지에 무슨 색 셔츠가 어울릴까요?","shirt. These black pants, which color shirt goes well with."
"속. 날씨가 너무 쌀쌀해서 주머니 속에 손을 넣었어요.","inside. Weather very chilly pocket inside put."
"스웨터. 날씨가 쌀쌀해져서 스웨터를 꺼내 입었어요.","sweater. Weather chilly became so sweater took out and wear."
"양복. 요즘에는 근무 시간에 양복을 안 입어도 되는 회사가 많습니다.","suit. These days work time for suit don't wear have to, companies a lot."
"옷. 동대문 시장이나 남대문 시장에는 값이 싼 옷이 많이 있어요.","clothes. Dongdaemun market or namdaemun market at as for, price cheap clothes a lot have."
"와이셔츠. 저는 집안일 중에서 와이셔츠 다리는 일이 제일 싫어요.","i housework out of white shirt ironing most hate."
"외투. 외투를 벗어서 옷걸이에 걸었어요.","overcoat. Overcoat took of and then cota hanger on hung."
"원피스. 저기 꽃무늬 원피스를 입고 있는 여자 아이가 아주 귀여워요.","one-piece dress. Over there flower pattern dress wearing girl child very cute."
"웨딩드레스. 하얀 웨딩드레스를 입은 신부가 아름다웠어요.","wedding dress. White wedding dress wearing bride was pretty."
"잠바. 날씨가 추울 때는 두꺼운 잠바를 입으세요.","jumper, a jacket. Weather cold during warm jumper wear."
"정장. 결혼식에 갈 때에는 보통 정장을 입어요.","suit, formal dress. Wedding go during usually formal dress wear."
"조끼. 남자 한복에는 조끼가 있어요.","vest. Boy korean traditional clothes with vest exist."
"주머니. 남자들은 보통 지갑을 바지 주머니에 넣어요.","pocket. Boys usually wallet pant pocket in put."
"찢다. 요즘에는 청바지를 찢어서 입는 사람들이 많아요.","to rip, to tear. These days jeans rip and then wear people a lot."
"청바지. 학교에 다닐 때는 청바지를 즐겨 입어요.","blue jeans. School attending during blue jeans delightedly wear."
"치마. 요즘에는 짧은 치마가 유행이에요.","skirt. These days short skirt fashion is."
"코트. 한국은 겨울에 아주 추워서 두꺼운 코트가 필요해요.","coat. Korea winter very cold cuz warm coat need."
"티셔츠. 월드컵 경기 때 한국 사람들은 빨간색 티셔츠를 입고 응원했어요.","world cup match during korean people red t-shirt wore and cheered."
"한복. 한복을 입어 본 적이 있어요? 네 그런데 생각보다 입는 방법이 복잡했어요.","hanbok. Hanbok have you worn before? Yes, however thought more than wearing way complicated."
"화려하다. 파티에 갈 때 입으려고 화려한 옷을 샀어요.","to be splendid. Party go when wear in order to splendid clothes bought."
